"Name","rarity","tier","gearScore","type","itemType","description"
"Eternal Dusk","Rare","5","590","item","weapon","""It is only in these moments that I feel our twilight lasts forever."""
"Guillotine","Rare","5","590","item","weapon","""The people shall have their say."""
"Faeforged Musket","Rare","5","590","item","weapon","""The faefolk never used rifles, so its particularly peculiar that they would possess one."""
"Inquisition","Rare","5","590","item","weapon","""We're here to investigate you for crimes against the crown. Worry not, you're already guilty of them."""
"Longsight","Rare","5","590","item","weapon","""They say she has the eyes of a sylph, but I think she's just lucky."""
"Veilpiercer","Rare","5","590","item","weapon","""Look beyond what is in front of you. See the evil beyond the pale."""
"Maker's Mark","Rare","5","590","item","weapon","""As he put the finishing touches on the blade he knew his mark was out there, waiting to be hunted."""
"Pixie's Punisher","Rare","5","590","item","weapon","""Tiny, nasty creatures, Pixies wield enchanted weapons that any creature should be frightened by."""
"Waning Crescent","Rare","5","590","item","weapon","""Let the fires of your soul light your way in this land."""
"Honorbound Rapier","Rare","5","590","item","weapon","""Honor above all else."""
"Needler","Rare","5","590","item","weapon","""Sew some clothes or stitch some flesh, it's all the same to me."""
"Faedragon's Claw","Rare","5","590","item","weapon","""If dragons ever did exist in their land, then surely this weapon is forged from one of their claws. The sheer size of such a claw speaks to the possibility."""
"Hidden Truths","Rare","5","590","item","weapon","""Look beyond the curtain, not all is as it may seem."""
"Frost Fairy's Gift","Epic","5","590","item","weapon","""And with a wink, she snapped her fingers. My hand grew cold, but with that feeling came the knowledge of creation."""
"Master Cryomancer's Gauntlet","Epic","5","590","item","weapon","A magical gauntlet made for a Master Cryomancer, provided its wielder matches its potential."
"Torrent","Rare","5","580","item","weapon","A rain of arrows to saturate the earth."
"Frozen Lament","Rare","5","580","item","weapon","I cried for hours when I learned of her death."
"Reformation","Rare","5","580","item","weapon","Total destruction lights the path."
"Twilight's Fall","Rare","5","580","item","weapon","In the gauzy haze of twilight, even the mighty shall fall."
"Azure Ravager","Rare","5","580","item","weapon","Blazing a trail of both fire and hope."
"Prime Resolve","Rare","5","580","item","weapon","The primal power. The inferno. Pure destruction."
"Glimmering Mercy","Rare","5","580","item","weapon","Inspires the heart, and its song heals the soul."
"Rampant Conviction","Rare","5","580","item","weapon","Ancient magic and divine blessings, forged in the fires of vengeance."
"Heavensplitter","Rare","5","580","item","weapon","An odyssean spear whose form was handed down by the Ancient Guardians. Wrought from the Underworld, it is the spear that pierced the heavens."
"Rook's Defense","Rare","5","580","item","weapon","""I stand stalwart, a tower against the wailing, corrupted dark. I will not be moved."""
"Boundless Ward","Rare","5","580","item","weapon","There is naught that cannot be turned aside."
"Vengeance Blast","Epic","5","580","item","weapon","""Your gods and heroes have no jurisdiction here."""
"Rimelash","Epic","5","580","item","weapon","The Wanderer’s greatest triumph, the herald of Forever Winter resting in the palm of one’s hand."
"Legendary Azoth Fishing Pole","Common","5","575","item","weapon","2-Handed. Gathers fish from open water and fishing hotspots."
"Legendary Strength Fishing Pole","Common","5","575","item","weapon","2-Handed. Gathers fish from open water and fishing hotspots."
"Legendary Tech Fishing Pole","Common","5","575","item","weapon","2-Handed. Gathers fish from open water and fishing hotspots."
"Pestilence","Rare","5","575","item","weapon","""Great Axe of the First Horseman."""
"Blessed Wildwood Life Staff","Rare","5","575","item","weapon","""Take the blessing of the wilds upon you as you venture forth, and let this staff serve both as a protector and a guide."""
"Echo of Grace","Uncommon","5","575","item","weapon","""Walk in my footsteps, and I will show you my mistakes."""
"Emberstrike","Rare","5","570","item","weapon","""Forged in the depths of Shattered Mountain, this sword appears as if it is molten lava bound together by some unknown magic."""
"Enchanted Flame Staff","Rare","5","570","item","weapon","""Chaotic magic flows through the staff, ferociously seeking an outlet."""
"Edengrove Marksman's Longcoat","Uncommon","5","570","item","armor","A longcoat, given as a gift after fighting against the Dryads in Edengrove."
"Victor's Helm","Rare","5","570","item","armor","""Only in the taste of victory can we strike at our inevitable doom."""
"Fortuna Chestplate","Epic","5","570","item","armor","""Rise above all slumbering souls, tell sleepless tales of journey's bold."""
"Clamorous Vox","Rare","5","570","item","weapon","Blaze a path forward with raw power and fury to rival a hurricane."
"Life Breaker","Epic","5","570","item","weapon","""I have become death. The destroyer of worlds."""
"Regent's Bow","Epic","5","570","item","weapon","""For it is the true warrior who takes up the noble cause."""
"Cutlass Keys Slicer","Epic","5","570","item","weapon","""Death is just the beginning."""
"Lightstorm's Protector","Rare","5","570","item","weapon","""A powerful offense relies on a strong defense."""
"Infinity Crystal","Rare","5","570","item","armor","""Then. Now. And evermore."""
"Warrior's Breath","Rare","5","565","item","weapon","""The roar was deafening. We looked across the battlefield and saw her, bold and bloodied. We were afraid."""
"Fear of Peace","Rare","5","565","item","weapon","""Assassinating a Duke is like killing anyone else. It never gets easier. For some of us, it was never hard in the first place."""
"The Lookout","Rare","5","565","item","weapon","""There, do you see it! It looks like a living tree!"""
"Best Wishes","Rare","5","565","item","weapon","""Sometimes the things we're looking for show up when we least expect it."""
"Windsinger","Epic","5","565","item","weapon","""The chanting grew, rising over the mountaintops and descending upon those less fortunate. Then, I awoke from my dream."""
"Graiths Maul","Rare","5","565","item","weapon","""Once owned by a brutish man who rarely left his cave. Known for throwing his live victims off the nearby cliff."""
"Renaissance","Rare","5","565","item","weapon","""Take this knowledge and be reborn."""
"Flawless Grandmaster's Spear","Epic","5","565","item","weapon","""To become a grandmaster spearman requires decades of training and dedication. When one achieves such an unparalleled feat they are given a spear crafted by the finest artisans of Aeternum."""
"Glacial Rage","Epic","5","565","item","weapon","""Anger and vengeance burn white hot. Rage is deeper, colder. It turns your heart to ice."""
"Boots of Stallion","Uncommon","5","560","item","armor","""On a stallion shod with fire; And the winds are left behind In the speed of my desire"""
"Hades Legguards","Uncommon","5","560","item","armor","""Strive forward. He waits for you."""
"Voidforged Harbinger","Rare","5","555","item","weapon","""Towns, cities, nations. All are yours to conquer."""
"Cauterizing Hatchet","Uncommon","5","555","item","weapon","""It's not sterile, and it just may kill you. But in a pinch this hatchet will close any wound that it already opened."""
"Opus Blade","Rare","5","550","item","weapon","""My muse sings a song of death. I simply transcribe it."""
"Fleshwrapped Hatchet","Rare","5","550","item","weapon","“The handle is clearly wrapped in human flesh. The tension on the flesh makes you think it may not be that old...”"
"Headguard of Valor","Rare","5","550","item","armor","""A proper knight should wear a proper helm."""
"Helm of the Dominator","Rare","5","550","item","armor","""Worn by the corrupted General Gortan, his crushing control over the legions he commanded led to a mutiny that resulted in his undoing."""
"Helm of the Forgotten Legion","Rare","5","550","item","armor","""The Legion came from Rome centuries ago. They tried to return home time and time again, each time landing back on the shores of Aeternum."""
"Horrific Skullcap","Rare","5","550","item","armor","""The helmet is nothing more than the skull of some brute plated with starmetal on all sides."""
"Warscarred Faceplate","Rare","5","550","item","armor","""Centuries of wear and deflected strikes decorate the helmet. It is nothing if not effective,"""
"Lion's Paw Helmet","Rare","5","550","item","armor","""A long lost helm of an ancient batallion, the sheer ferocity of this armor is clear the moment you set eyes on it."""
"Possessed Helmet","Rare","5","550","item","armor","""You hear voices the moment you don the helmet. Whispering in your ear, they compel you to do awful deeds."""
"Steelsworn Breastplate","Rare","5","550","item","armor","""The Steelsworn smiths crafted the finest armor for only the fiercest of warriors. They did not accept coin as their payment, only the blood of the uninitiated."""
"Enchanted Armor of the Forest Keeper","Rare","5","550","item","armor","""The Dryads do not wear armor forged of steel. But their enchanted wood can block a blade all the same."""
"Dragon's Breath Breastplate","Rare","5","550","item","armor","""Forged in the fire of the dragon's flame, this dark black breastplate is decorated with intricate metal designs of the dragon from which it came."""
"Blazing Breastplate","Rare","5","550","item","armor","""The armor is warm to the touch, providing excquisite protection from the cold."""
"Azoth Infused Chestpiece","Rare","5","550","item","armor","""Built in a cave by what some would describe as a mad scientist, he used the armor to escape from his would be captors and fight his way to freedom."""
"Iceforged Chestguard","Rare","5","550","item","armor","""The grandmaster smiths are known for their artistry with the strangest of materials. A breastplate made of pure ice is but one of many oddities they created over the years."""
"Commodor's Battlearmor","Rare","5","550","item","armor","""Most high ranking naval officers prefered to wear their linens at sea for fear of drowning. The boldest among them donned their armor, prepared for battle at any moment."""
"Royal Breastplate","Rare","5","550","item","armor","""Made from the finest metals, this breastplate is fit for royalty. How it came into your possession is a mystery."""
"Breastplate of Titanic Will","Rare","5","550","item","armor","""The Titans of old bestowed this armor upon their favored champion, tasking her to destroy their enemies and all who would oppose them."""
"Chestguard of the Fallen","Rare","5","550","item","armor","""Lined with what initially appear to be scratches, a notch is inked on the armor for each enemy its owner has felled. """
"Dunecrawler's Breastplate","Rare","5","550","item","armor","""Heavy armor is essential in battle, but in the heat of the desert it can be a death sentence. Denizens have had to adapt over the years."""
"Armor of Unrelenting Ferocity","Rare","5","550","item","armor","""Berserkers are notoriously picky about what weapon they'll wield, but when it comes to armor they care only that it does not get in the way of their lust for blood."""
"Black Knight's Gauntlets","Rare","5","550","item","armor","""Draped from head to toe in coldforged black steel, when the Black Knight rode in to town he appeared as if the spitting image of death."""
"Enchanted Dryad Gloves","Rare","5","550","item","armor","""What some call ""gloves"" are actually the severed and hollowed hands of a long dead Dryad."""
"Grips of Fate","Rare","5","550","item","armor","""Fate has a hold on us all."""
"Immovable Legguards","Rare","5","550","item","armor","""These leggings anchor you to the ground as if with magic, providing incredible stability."""
"Monsterslayer's Leggings","Rare","5","550","item","armor","""Aeternum plays host to dozens off atrocities. Someone needs to slay them all."""
"Legplates of Hate's End","Rare","5","550","item","armor","""My hatred has but one end; your death."""
"Leggings of Unknown Origin","Rare","5","550","item","armor","""Found in one of the many Ancient Vaults, the origins of these leggings are unknown. They seem to not be of this world."""
"Deathwalker's Stompers","Rare","5","550","item","armor","""Stomping on the risen dead is one of the most efficient ways to return them to death."""
"Earthshaking Boots","Rare","5","550","item","armor","""The ground quakes as you make your stride."""
"Campfire Extinguishing Boots","Rare","5","550","item","armor","""Why waste water when your boots put out the fire just as well."""
"Boots of Heroic Sacrifices","Rare","5","550","item","armor","""The most selfish among us are capable of the most selfless acts in moments of peril."""
"Corruption's Crown","Rare","5","550","item","armor","""Don this helm and become my champion."""
"Faceguard of the Forgotten Ranger","Rare","5","550","item","armor","""I work alone, and I'd prefer to keep it that way."""
"Helm of Tribulation","Rare","5","550","item","armor","""This too shall pass."""
"Greathelm of Justice","Rare","5","550","item","armor","""Deliver justice fairly and impartially."""
"Wayward Wanderer's Helm","Rare","5","550","item","armor","""Where shall we go next?"""
"Helm of Rogue Justice","Rare","5","550","item","armor","""Do not wait for the law. Take matters into your own hands."""
"Hood of Dark Secrets","Rare","5","550","item","armor","""What lies sit behind that hood?"""
"Breastplate of Forgotten Sins","Rare","5","550","item","armor","""For the right amount of coin, all can be forgotten."""
"Arcanebound Breastplate","Rare","5","550","item","armor","""Attuned to arcane magic, offering greater protection from its damaging effects."""
"Dragonscale Chestguard","Rare","5","550","item","armor","""The scales of a great dragon are said to be nearly impenetrable."""
"Fur-lined Tundraguard's Armor","Rare","5","550","item","armor","""It's cold up north. If the Corrupted don't kill you, the weather might."""
"Reaver's Nimble Armor","Rare","5","550","item","armor","""The Guardian Reavers move with such a calculated agility, what can we learn from them?"""
"Chestguard of the Royal Assassin","Rare","5","550","item","armor","""Succession can be nasty business, why not hire me to lighten the load?"""
"Grand Watcher's Chestguard","Rare","5","550","item","armor","""You've stood watch for half a century. What horrors have you seen?"""
"Ogreskin Chestguard","Rare","5","550","item","armor","""Ogres... so perfectly suited for survival and yet so dumb."""
"Chestguard of the Seventh Hell","Rare","5","550","item","armor","""Cold... so cold."""
"Shining Knight's Tunic","Rare","5","550","item","armor","""Why yes, it's me, your knight in shining armor."""
"Chestguard-Of-Too-Many-Pockets","Rare","5","550","item","armor","""Where else am I going to put all this junk?"""
"Navigator's Tunic","Rare","5","550","item","armor","""Sailors often prefer lighter armor in case their ship should run into any sort of trouble."""
"Champion's Reinforced Gloves","Rare","5","550","item","armor","""Go forth and bring glory to my name."""
"Captain's Battlegloves","Rare","5","550","item","armor","""War is hell. Do what you must to survive."""
"Ghoulskin Gloves","Rare","5","550","item","armor","""Fit in perfectly with other ghouls and gheists by wearing these ever so fashionable ghoulskin gloves!"""
"Artificer's Fitted Leggings","Rare","5","550","item","armor","“Crafted to perfection by an artificer, these leggings are exceptional.”"
"Myrkgaardian's Legguards","Rare","5","550","item","armor","""The Corrupted of Myrkgaard are always dressed for battle."""
"Dungeoneer's Leggings","Rare","5","550","item","armor","""Oh the treasures you find when you go hunting for them."""
"Basilisk Skin Legguards","Rare","5","550","item","armor","""Basilisks are rare creatures with skin like diamonds. They've been hunted to near extinction in Aeternum."""
"Nimble Treads","Rare","5","550","item","armor","""Tread quickly."""
"Reinforced Myrmidon's Boots","Rare","5","550","item","armor","""Guard yourself while you guard others."""
"Critter Crushers","Rare","5","550","item","armor","""Rabbits beware."""
"Well Worn Traveler's Boots","Rare","5","550","item","armor","""You've walked the entirety of the world. Perhaps it is time to rest?"""
"Swashbuckler's Feathered Cap","Rare","5","550","item","armor","""There's no more perfect time for a duel than the present."""
"Cowl of Doom","Rare","5","550","item","armor","“Unleash hell upon them.”"
"Cultist's Ritual Hood","Rare","5","550","item","armor","""The ceremonial garb of the cultists is as important to them as their spells."""
"Archmage's Cap","Rare","5","550","item","armor","""You have completed every trial we have put you through. This cap signifies your status as an Archmage."""
"Wizardly Cap","Rare","5","550","item","armor","""Where shall I place you?"""
"Archbishop's Zuchetto","Uncommon","5","550","item","armor","""You act in service of a holy cause."""
"Doomspeaker's Helm","Rare","5","550","item","armor","""The end is nigh, repent or be doomed!"""
"Flowing Robes of Virtue","Rare","5","550","item","armor","""Live in service of others, do not act wickedly."""
"Vestments of Undying Loyalty","Rare","5","550","item","armor","""Until my last breath I shall serve you."""
"Sorcerer's Silk Tunic","Rare","5","550","item","armor","""If you're going to cast spells, you may as well look fashionable while doing it."""
"Bewitched Tunic","Rare","5","550","item","armor","""Sometimes while wearing this tunic you feel as if your actions are not your own."""
"Robe of Void Empowerment","Rare","5","550","item","armor","""Let the powers of darkness flow through you."""
"Lightweight Vestments","Rare","5","550","item","armor","""It almost feels as if you're wearing nothing at all."""
"Emperor's New Shirt","Rare","5","550","item","armor","""You are wearing the most beautiful shirt in all the land."""
"Elementalist's Robes","Rare","5","550","item","armor","""Empower yourself with the elements and let the world feel your wrath."""
"Tunic of Shamanistic Courage","Rare","5","550","item","armor","""The shamans are brave and respectful sorcerers, championing the earth with all they do."""
"Soulwarden's Spiritual Robes","Rare","5","550","item","armor","""To stop the forces of corruption, we must first center ourselves."""
"Legacy of the Magi","Rare","5","550","item","armor","""You come from a long lineage of mages, do not dishonor what they have done."""
"Heretic's Robes","Rare","5","550","item","armor","""Listen to me! Listen to me! She is here!"""
"Prophetic Gloves","Rare","5","550","item","armor","""What will the future bring?"""
"Enchanted Mittens","Rare","5","550","item","armor","""Magic energy swirls around your finger tips."""
"Spellwoven Handguards","Rare","5","550","item","armor","""Each fiber of the cloth is magically imbued."""
"Forgotten Ancient Leggings","Rare","5","550","item","armor","""Ripped from the corpse of some long-dead hero, these leggings are remarkably powerful."""
"Spellspeaker's Legguards","Rare","5","550","item","armor","""My word is power incarnate."""
"Leggings of Untold Power","Rare","5","550","item","armor","""Dig deep enough and unlimited power can be yours. For a price."""
"Silky Legguards","Rare","5","550","item","armor","""Remarkably comfortable to wear."""
"Magister's Ethereal Boots","Rare","5","550","item","armor","""Existence on this plane is fleeting."""
"Boots of Channeled Energy","Rare","5","550","item","armor","""These boots seem to draw energy from the living things around you."""
"Arcanist's Treads","Rare","5","550","item","armor","""The perfect shoes for casting a powerful spell."""
"Gold Embroidered Boots","Rare","5","550","item","armor","""The edges of these boots are lined with flakes of gold."""
"Spirit of Oblivion","Epic","5","550","item","weapon","""Death is just the beginning."""
"Rage","Epic","5","545","item","weapon","""There is a clarity to it. Only people who fear it experience it blindly."""
"Alazar's Hook","Uncommon","5","540","item","armor","Rewarded for completing the quest, 'Finally, Exhale'."
"Syndicate Plague Doctor Mask of the Sentry","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Robes of the Sentry","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Gloves of the Sentry","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Pants of the Sentry","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Boots of the Sentry","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Covenant Inquisitor Hat of the Sentry","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Coat of the Sentry","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Gauntlets of the Sentry","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Pants of the Sentry","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Boots of the Sentry","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Marauder Legatus Helm of the Sentry","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Breastplate of the Sentry","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Gauntlets of the Sentry","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Cuisses of the Sentry","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Greaves of the Sentry","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Syndicate Plague Doctor Mask of the Barbarian","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Robes of the Barbarian","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Gloves of the Barbarian","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Pants of the Barbarian","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Boots of the Barbarian","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Covenant Inquisitor Hat of the Barbarian","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Coat of the Barbarian","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Gauntlets of the Barbarian","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Pants of the Barbarian","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Boots of the Barbarian","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Syndicate Plague Doctor Mask of the Brigand","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Robes of the Brigand","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Gloves of the Brigand","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Pants of the Brigand","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Syndicate Plague Doctor Boots of the Brigand","Rare","5","535","item","armor","Syndicate Plague Doctors set out to areas of the world infested with plague, not only to aid those in need, but because plagued regions are rife with willing test subjects."
"Covenant Inquisitor Hat of the Brigand","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Coat of the Brigand","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Gauntlets of the Brigand","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Pants of the Brigand","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Boots of the Brigand","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Marauder Legatus Helm of the Brigand","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Breastplate of the Brigand","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Gauntlets of the Brigand","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Cuisses of the Brigand","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Greaves of the Brigand","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Covenant Inquisitor Hat of the Occultist","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Coat of the Occultist","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Gauntlets of the Occultist","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Pants of the Occultist","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Covenant Inquisitor Boots of the Occultist","Rare","5","535","item","armor","Covenant Inquisitors are a special branch of the Covenant. While they are relied upon to enforce the bylaws of the faction, they are also an elite force used to root out even the most corrupt heretics."
"Marauder Legatus Helm of the Occultist","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
"Marauder Legatus Breastplate of the Occultist","Rare","5","535","item","armor","Legatus is not a rank within the Marauders. It is a title given to those who have visited mayhem upon their opponents on the battlefield."
