"Company","2021 Franchise 500 Rank","Initial investment","Units as of 2021","Industry","Related Categories","Founded","Parent Company","Leadership","Ticker Symbol","Franchising Since","# of employees at HQ","# of Units","Social","Corporate Address","Initial Franchise Fee","Initial Investment","Net Worth Requirement","Cash Requirement","Royalty Fee","Ad Royalty Fee","Term of Agreement","Is franchise term renewable?","Third Party Financing","On-The-Job Training","Classroom Training","Additional Training","Ongoing Support","Marketing Support","Is absentee ownership allowed?","Can this franchise be run from home/mobile unit?","Can this franchise be run part time?","Are exclusive territories available?"
"McDonald's","#11--Ranked #3 last year","$1.3M - $2.3M","39,396--5.3% over 3 years","Food","Hamburgers","1955","","Chris Kempczinski, CEO","MCD","1955  (66 years)","885","39,396 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram","110 N. CarpenterChicago, IL 60607","$45,000","$1,314,500 - $2,313,295","","$500,000","4%","4%+","20 years","Yes","McDonald's has relationships with third-party sources which offer financing to cover the following: equipment","500 hours (average)","72 hours","At local McDonald's restaurant","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","No"
"Budget Blinds","#12--Ranked #17 last year","$126K - $193K","1,320--14.4% over 3 years","Home Improvement","Window Coverings, Miscellaneous Home-Improvement Businesses, Furniture Stores, Miscellaneous Services","1992","Home Franchise Concepts","Doug Phillip, President","","1994  (27 years)","240","1,320 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","19000 MacArthur Blvd, #100Irvine, CA 92612","$19,950","$125,580 - $192,900","$150,000","$69,580","$300-$2K/mo.","$1K-$1.5K/mo.","10 years","Yes","Budget Blinds has relationships with third-party sources which offer financing to cover the following: startup costs, equipment, inventory, accounts receivable, payroll","","88.5 hours","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","Yes","No","Yes"
"Great Clips","#13--Ranked #15 last year","$147K - $302K","4,472--5.0% over 3 years","Personal-Care Businesses","Hair Care","1982","Great Clips Inc.","Steve Hockett, CEO","","1983  (38 years)","240","4,472 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","4400 W. 78th St., #700Minneapolis, MN 55435","$20,000","$146,750 - $302,400","$300,000 - $1,000,000","$75,000 - $250,000","6%","5%","10 years","Yes","Great Clips has relationships with third-party sources which offer financing to cover the following: startup costs, equipment, inventory","13 hours","56 hours","At local training center","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","Yes"
"Tropical Smoothie Cafe","#14--Ranked #18 last year","$258K - $561K","991--46.4% over 3 years","Food","Smoothies/Juices, Fruit","1997","Levine Leichtman Capital Partners (LLCP)","Charles Watson, CEO","","1997  (24 years)","115","991 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","1117 Perimeter Center W., #W200Atlanta, GA 30338","$30,000","$257,500 - $560,500","$350,000","$125,000","6%","3%","15 years","Yes","Tropical Smoothie Cafe has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","182-222 hours","25 hours","At existing store","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","Yes"
"Supercuts","#15--Ranked #26 last year","$151K - $321K","2,414--13.8% over 3 years","Personal-Care Businesses","Hair Care","1975","Regis","Felipe Athayde, CEO","rgs","1979  (42 years)","340","2,414 (as of 2021)","Facebook, Twitter, Instagram","3701 Wayzata Blvd., #500Minneapolis, MN 55416","$39,500","$151,370 - $321,020","$1,000,000 - $1,200,000","$250,000 - $350,000","6%","5%","Conditional","Yes","Supercuts has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","","24 hours","At training center","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","No"
"Nothing Bundt Cakes","#16--Ranked #45 last year","$441K - $637K","399--50.6% over 3 years","Food","Miscellaneous Food/Beverage Businesses, Baked Goods, Miscellaneous Full-Service Restaurants","1997","Nothing Bundt Franchising LLC","Kyle Smith, CEO","","2006  (15 years)","60","399 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","4560 Belt Line Rd., #350Addison, TX 75001","$35,000","$440,800 - $636,500","$600,000","$150,000","5%","4%","10 years","Yes","Nothing Bundt Cakes has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","119 hours","40 hours","","Newsletter/Meetings & Conventions/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"Sport Clips","#17--Ranked #37 last year","$246K - $395K","1,889--6.4% over 3 years","Personal-Care Businesses","Hair Care","1993","","G. Edward Logan, CEO","","1995  (26 years)","170","1,889 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","110 Sport Clips Wy.Georgetown, TX 78628","$25,000 - $59,500","$246,300 - $394,500","$400,000","$200,000","6%","5%","5 years","Yes","Sport Clips has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","47.5 hours","114.5 hours","At existing locations/virtual","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","No"
"uBreakiFix","#18--Ranked #21 last year","$82K - $354K","694--64.8% over 3 years","Tech Businesses","Electronics Repairs/Sales, Miscellaneous Services, Miscellaneous Tech Businesses","2009","Asurion LLC","David Barbuto, CEO","","2013  (8 years)","182","694 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","2121 S. Hiawassee Rd., #120Orlando, FL 32835","$0 - $40,000","$82,432 - $354,405","$200,000","$150,000","7%","","10 years","Yes","uBreakiFix has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","","144 hours","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"Smoothie King","#19--Ranked #14 last year","$269K - $859K","1,349--38.8% over 3 years","Food","Smoothies/Juices, Fruit","1973","Smoothie King Franchises Inc.","Kevin King, Chief Business Development Officer","","1988  (33 years)","99","1,349 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","9797 Rombauer Rd., #150Dallas, TX 75019","$15,000 - $30,000","$268,900 - $858,900","$300,000","$100,000","6%","3%","10 years","Yes","Smoothie King has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","40-200 hours","54-112 hours","Managment training at corporate office for new store managers (optional)","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","Yes"
"Valvoline Instant Oil Change","#20--Ranked #57 last year","$178K - $3.3M","1,433--24.2% over 3 years","Automotive","Oil-Change Services, Automotive Repair & Maintenance Services","1986","Valvoline Inc.","Sam Mitchell, CEO","NYSE:VVV","1988  (33 years)","161","1,433 (as of 2021)","Facebook, Twitter","100 Valvoline Wy.Lexington, KY 40509","$30,000","$178,025 - $3,273,500","$1,000,000","$600,000","4-6%","3%","15 years","Yes","Valvoline Instant Oil Change has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","288-312 hours","70 hours","At opening","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Ad Templates/National Media/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"Pet Supplies Plus","#21--Ranked #50 last year","$440K - $1.3M","583--31.9% over 3 years","Pets","Pet Stores, Retail","1987","Franchise Group Inc.","Chris Rowland, President & CEO","","1990  (31 years)","258","583 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","17197 N. Laurel Park Dr., #402Livonia, MI 48152","$49,900","$439,870 - $1,317,725","$600,000","$200,000","2-3%","$3K/mo.","10 years","Yes","Pet Supplies Plus has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","80 hours","","As needed","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","Yes"
"Wingstop","#22--Ranked #42 last year","$348K - $759K","","Food","Chicken","1994","Wingstop Restaurants Inc.","Charlie Morrison, Chairman & CEO","WING","1998  (23 years)","202","1,436 (as of 2020)","Facebook, Twitter, LinkedIn, Instagram, YouTube","15505 Wright Brothers Dr.Addison, TX 75001","$20,000","$347,600 - $759,100","$1,200,000","$600,000","6%","4%","10 years","Yes","Wingstop has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","154 hours","50 hours","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","Yes"
"Ace Hardware","#23--Ranked #6 last year","$292K - $2.1M","5,554--7.2% over 3 years","Retail","Miscellaneous Retail Businesses, Home Improvement","1924","","John Venhuizen, CEO","","1976  (45 years)","1,288","5,554 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","2222 Kensington Ct.Oak Brook, IL 60523","$5,000","$292,000 - $2,119,230","$400,000","$250,000","","","None","No","Ace Hardware has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","","40 hours","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","Yes"
"Hampton by Hilton","#24--Ranked #30 last year","$10.7M - $20M","2,715--14.0% over 3 years","Lodging","Hotels & Motels","1983","Hilton","Christopher Nassetta, CEO","HLT","1984  (37 years)","7,332","2,715 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","7930 Jones Branch Dr., #1100McLean, VA 22102","$75,000","$10,715,695 - $19,978,093","","","6%","4%","22 years","Yes","Hampton by Hilton has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","","162-177 hours","General manager training","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","No"
"Sola Salon Studios","#26--Ranked #76 last year","$545K - $1.7M","576--41.9% over 3 years","Personal-Care Businesses","Salon Suites, Hair Care","2004","Radiance Holdings","Christina Russell, CEO","","2005  (16 years)","22","576 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","300 Union Blvd., #600Lakewood, CO 80228","$55,000","$545,476 - $1,737,517","$1,500,000","$500,000","5.5%","2%","10 years","Yes","Sola Salon Studios has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment","","15 hours","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"KFC","#25--Ranked #24 last year","$1.4M - $2.8M","25,680--19.8% over 3 years","Food","Chicken","1930","Yum! Brands Inc.","Kevin Hochman, President","YUM","1952  (69 years)","341","25,680 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","1441 Gardiner Ln.Louisville, KY 40213","$45,000","$1,442,600 - $2,771,550","$1,500,000","$750,000","4-5%","5%","20 years","Yes","KFC has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","9 weeks","1.5 days","","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","No","No","No"
"Jan-Pro Cleaning and Disinfecting","#27--Ranked #34 last year","$4K - $56K","10,476--19.2% over 3 years","Maintenance","Commercial Cleaning, Miscellaneous Maintenance Businesses, Cleaning/Restoration","1991","Lynx Franchising","Gary Bauer, Brand President","","1992  (29 years)","41","10,476 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","2520 Northwinds Pkwy., #375Alpharetta, GA 30009","$2,520 - $44,000","$4,170 - $56,020","- $1,000,000","- $150,000","10%","1%","10 years","Yes","","4 hours","15 hours","","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","No","Yes","Yes","Yes"
"Sonic Drive-In","#28--Ranked #4 last year","$1.2M - $3.5M","3,534--1.5% over 3 years","Food","Hamburgers","1953","Inspire Brands","Claudia San Pedro, President","","1959  (62 years)","3,000","3,534 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram","3 Glenlake Parkway N.E.Atlanta, GA 30328","$45,000","$1,242,200 - $3,537,700","$1,000,000 - $2,000,000","$500,000 - $1,000,000","5%","3.25%","20 years","Yes","","400 hours","24 hours","At existing franchise location","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Security & Safety Procedures/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Marketing Planning & Support/Social Media/SEO/Email Marketing/Loyalty Program/App","No","No","No","Yes"
"Goldfish Swim School","#29--Ranked #28 last year","$1.4M - $3.3M","120--71.4% over 3 years","Children's Businesses","Swimming Lessons, Children's Fitness Programs, Miscellaneous Recreation Businesses","2006","Goldfish Swim School Franchising LLC","Chris McCuiston, CEO","","2008  (13 years)","35","120 (as of 2021)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","2701 Industrial Row Dr.Troy, MI 48084","$50,000","$1,375,283 - $3,286,858","$1,500,000","$600,000","6%","2%","20 years","Yes","Goldfish Swim School has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","40 hours","40 hours","","Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","Yes"
"Anytime Fitness","#30--Ranked #22 last year","$96K - $524K","","Personal-Care Businesses","Fitness","2001","Self Esteem Brands","Chuck Runyon, CEO","","2002  (19 years)","250","4,743 (as of 2020)","Facebook, Twitter, LinkedIn, Instagram, YouTube, Pinterest","111 Weir Dr.Woodbury, MN 55125","$25,000 - $42,500","$96,140 - $523,824","","$100,000","$649-$699/mo.","$600/mo.","5 years","Yes","Anytime Fitness has relationships with third-party sources which offer financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","15-25 hours","61 hours","Ongoing training","Purchasing Co-ops/Newsletter/Meetings & Conventions/Toll-Free Line/Grand Opening/Online Support/Security & Safety Procedures/Lease Negotiation/Field Operations/Site Selection/Proprietary Software/Franchisee Intranet Platform","Co-op Advertising/Ad Templates/National Media/Regional Advertising/Social Media/SEO/Website Development/Email Marketing/Loyalty Program/App","Yes","No","No","Yes"
