"Company","address","city","state","zip","county","phone","serviceProvided"
"Marv's Plumbing & Heating","1515 Logan Avenue","Cheyenne","WY","82001-5199","Laramie County","(307) 635-4159"," Septic Tank Pumping -  Sewer Systems"
"B & B Sewer & Septic Tank Service","4303 Charles Street","Cheyenne","WY","82001-1903","Laramie County","(307) 634-7747"," Septic Tank Pumping -  Sewer Systems"
"Centennial Septic Service","3350 Road 215","Cheyenne","WY","82009-9469","Laramie County","(307) 632-2019"," Septic Tank Pumping"
"Eggleston Backhoe and Septic Service","2218 Persons Road","Cheyenne","WY","82007-2523","Laramie County","(307) 634-6122"," Septic Tank Pumping"
"Big D Sanitation","3121 Garman Road","Gillette","WY","82716","Campbell County","(307) 682-3181"," Septic Tank Pumping -  Porta Potty Rental"
"Rooter Sewer Service","410 County Road 128A","Cheyenne","WY","82007","Laramie County","(307) 772-0325"," Septic Tank Pumping -  Sewer Systems -  Porta Potty Rental"
"Slattery Enterprises","3575 N Garner Lake Road","Gillette","WY","82716","Campbell County","(307) 682-3913"," Septic Tank Pumping -  Porta Potty Rental"
"Woods","204 Commerce Drive","Gillette","WY","82718-8276","Campbell County","(307) 686-1573"," Septic Tank Pumping -  Sewer Systems"
"ICF Jones & Stokes","405 W Boxelder Road","Gillette","WY","82718-5320","Campbell County","(307) 686-5024"," Septic Tank Pumping -  Waste Disposal"
"Douglas Portable Toilets","1804 E Brundage Lane","Sheridan","WY","82801-8504","Sheridan County","(307) 672-7926"," Septic Tank Pumping -  Porta Potty Rental"
"Hurley Septic Pumping","6619 Coffeen Avenue","Sheridan","WY","82801-9743","Sheridan County","(307) 655-5942"," Septic Tank Pumping -  Septic System Construction"
"Royal Flush Septic","199 W 2nd Avenue","Afton","WY","83110","Lincoln County","(307) 885-9645"," Septic Tank Pumping -  Porta Potty Rental"
"Dry Creek Enterprises","713 Bowles Lane","Afton","WY","83110","Lincoln County","(307) 886-5636"," Septic Tank Pumping -  Porta Potty Rental"
"D B R","415 E Kelly Avenue","Jackson","WY","83001-8545","Teton County","(307) 733-4687"," Septic Tank Pumping -  Porta Potty Rental"
"Plumbing Anytime","3555 S Canadian Drive Suite L","Jackson","WY","83001","Teton County","(307) 733-3534"," Septic Tank Pumping"
"Buffalo Porta Potty","27 Rock Creek Road","Buffalo","WY","82834-9329","Johnson County","(307) 684-0598"," Septic Tank Pumping -  Porta Potty Rental"
"Roto Rooter & Plumbing Service","602 Skyline Road","Bosler","WY","82070-8906","Albany County","(307) 721-8814"," Septic Tank Pumping -  Sewer Systems"
"Roto Matic Sewer & Drain Cleaning","1192 US Highway 287","Lander","WY","82520-2414","Fremont County","(307) 332-4657"," Septic Tank Pumping -  Sewer Systems"
"Brown Star Services","796 Fort Laramie Drive","Laramie","WY","82070","Albany County","(307) 745-5190"," Septic Tank Pumping"
"Honeywagon Sanitation Pumping","278 N Lincoln Street","Laramie","WY","82070-6112","Albany County","(307) 745-5190"," Septic Tank Pumping"
"Emery Septic Tank Pumping","525 S 8th Street","Douglas","WY","82633-2609","Converse County","(307) 358-4552"," Septic Tank Pumping"
"Nickel Ridge Portables","1125 North Street","Reliance","WY","82943","Sweetwater County","(307) 382-5542"," Septic Tank Pumping -  Porta Potty Rental"
"Homestead Trenching and Septic","213 E Ramhorn Street","Dubois","WY","82513","Fremont County","(307) 455-3435"," Septic Tank Pumping"
"Wyoming Sanitation","99 Reliance Road","Rock Springs","WY","82901-9709","Sweetwater County","(307) 382-3028"," Septic Tank Pumping -  Porta Potty Rental"
"Western Wyoming Enhanced Septic","PO Box 5287","Etna","WY","83118","Lincoln County","(307) 884-6569"," Septic Tank Pumping"
"Rocket Sanitation","158 Valley View Avenue","Evanston","WY","82930-2105","Uinta County","(307) 789-9202"," Septic Tank Pumping -  Porta Potty Rental"
"A & D Septic","183 Lane 5","Thermopolis","WY","82443","Hot Springs County","(307) 864-5243"," Septic Tank Pumping"
"Drainbusters","6121 Road 38","Torrington","WY","82240-5111","Goshen County","(307) 788-1303"," Septic Tank Pumping -  Sewer Systems"
"Stop Pots","59 Old Wind River Highway","Fort Washakie","WY","82514","Fremont County","(307) 332-6821"," Septic Tank Pumping -  Porta Potty Rental"
"Ron's Sanitation","272 and a Half Lawson Avenue","Worland","WY","82401","Washakie County","(307) 347-9100"," Septic Tank Pumping -  Porta Potty Rental -  Waste Disposal"
