"rank","restaurant_name","emailaddress","zipcode","website","cuisine1","cuisine2","cuisine3","cuisine","phone_number","address","yellowpages_rating","yellowpages_review_count","tripadvisor_rating","tripadvisor_review_count"
"76. ","CorePower Yoga","NY-TRIBECA@corepoweryoga.com","10013","https://www.corepoweryoga.com/yoga-studios/new-york/new-york/tribeca","Yoga Instruction","Exercise & Physical Fitness Programs","","Yoga Instruction,Exercise & Physical Fitness Programs","(929) 207-0038","25 Hudson St,New York,NY","","","",""
"77. ","Lyons Den Power Yoga","info@lyonsdenpoweryoga.com","10013","http://www.lyonsdenpoweryoga.com","Yoga Instruction","","","Yoga Instruction","(646) 490-8888","279 Church St,New York,NY","","","",""
"78. ","Bikram Yoga","info@bikramyogasohonyc.com","10013","http://bikramyoga.com","Yoga Instruction","","","Yoga Instruction","(646) 964-4957","404 Broadway,New York,NY","","","",""
"79. ","Yoga In Tribeca","","10013","","Yoga Instruction","","","Yoga Instruction","(212) 966-4554","38 Walker St,New York,NY","","","",""
"80. ","YogaWorks","","10013","http://www.yogaworks.com","Yoga Instruction","Meditation Instruction","","Yoga Instruction,Meditation Instruction","(212) 965-0801","459 Broadway,New York,NY","","","",""
"81. ","YogaWorks","","10013","http://www.yogaworks.com","Yoga Instruction","Meditation Instruction","","Yoga Instruction,Meditation Instruction","(212) 935-9642","474 Broadway,New York,NY","","","",""
"82. ","Yoga Smoga, Inc.","sanfran.unionsquare@yogasmoga.com","10005","http://www.yogasmoga.com","Yoga Instruction","","","Yoga Instruction","(888) 990-9642","15 Broad St Apt 2304,New York,NY","","","",""
"83. ","Yoga Vida","","10013","https://www.yogavida.com","Yoga Instruction","","","Yoga Instruction","(212) 343-7001","416 Washington St,New York,NY","","","",""
"84. ","Shri Yoga","","10013","http://www.shriyoga.com","Yoga Instruction","","","Yoga Instruction","(212) 343-9642","443 Greenwich St,New York,NY","","","",""
"85. ","Wow Yoga Pants","support@wowyogapants.com","10005","","Yoga Instruction","","","Yoga Instruction","(347) 854-6959","99 Wall St,New York,NY","","","",""
"86. ","Yoga Nyc","","10002","http://yogahighnyc.com","Yoga Instruction","","","Yoga Instruction","(646) 678-3116","98 Forsyth St Fl 2,New York,NY","","","",""
"87. ","Strala Yoga","","10012","http://www.stralayoga.com","Yoga Instruction","Physical Fitness Consultants & Trainers","","Yoga Instruction,Physical Fitness Consultants & Trainers","(917) 488-7195","632 Broadway,New York,NY","","","",""
"88. ","Undakova Yoga","undakova@gmail.com","10002","","Yoga Instruction","","","Yoga Instruction","(917) 512-3752","257 Clinton St,New York,NY","","","",""
"89. ","Fierce Grace NYC","info@bikramyogales.com","10002","http://fiercegracenyc.com","Yoga Instruction","","","Yoga Instruction","(212) 353-8859","172 Allen St Frnt 2,New York,NY","","","",""
"1. ","The Center Studio","info@centerstudionyc.com","10023","","Health Clubs","Exercise & Physical Fitness Programs","Gymnasiums","Health Clubs,Exercise & Physical Fitness Programs,Gymnasiums,Physical Fitness Consultants & Trainers,Pilates Instruction & Equipment,Yoga Instruction","(646) 505-4457","334 Amsterdam Ave,New York,NY","5","11","",""
"2. ","Centered","","10011","","Yoga Instruction","Exercise & Physical Fitness Programs","Gymnasiums","Yoga Instruction,Exercise & Physical Fitness Programs,Gymnasiums,Health Clubs,Physical Fitness Consultants & Trainers","(212) 633-1233","114 W 14th St,New York,NY","5","10","",""
"3. ","Circuit of Change","info@circuitofchange.com","10011","http://www.circuitofchange.com","Yoga Instruction","Exercise & Physical Fitness Programs","Martial Arts Instruction","Yoga Instruction,Exercise & Physical Fitness Programs,Martial Arts Instruction","(212) 255-0053","57 W 16th St,New York,NY","5","8","",""
"4. ","Yogamaya","manager@yogamayanewyork.com","10011","http://www.yogamayanewyork.com","Yoga Instruction","","","Yoga Instruction","(212) 675-4555","135 W 20th St,New York,NY","5","8","",""
"5. ","Karma Kids Yoga","downdog@karmakidsyoga.com","10011","http://www.karmakidsyoga.com","Yoga Instruction","","","Yoga Instruction","(646) 638-1444","104 W 14th St,New York,NY","5","5","",""
"6. ","Life In Motion","info@bodystrengthfitness.com","10025","http://www.lifeinmotion.com","Meditation Instruction","Yoga Instruction","","Meditation Instruction,Yoga Instruction","(212) 666-0870","2744 Broadway,New York,NY","5","5","",""
"7. ","Bella Bellies","info@bellabellies.com","07030","http://bellabellies.com","Yoga Instruction","Exercise & Physical Fitness Programs","Physical Fitness Consultants & Trainers","Yoga Instruction,Exercise & Physical Fitness Programs,Physical Fitness Consultants & Trainers","(201) 705-4018","720 Monroe St,Hoboken,NJ","5","5","",""
"8. ","Thompkins Fitness","","10001","","Health Clubs","Exercise & Physical Fitness Programs","Gymnasiums","Health Clubs,Exercise & Physical Fitness Programs,Gymnasiums,Nutritionists,Yoga Instruction","(212) 675-6690","122 W 26th St,New York,NY","5","4","",""
"9. ","Yoga Yoga Nyc","","10011","","Yoga Instruction","","","Yoga Instruction","(212) 727-0216","102 W 14th St,New York,NY","5","3","",""
"10. ","Yoga High","","10002","","Yoga Instruction","Physical Fitness Consultants & Trainers","","Yoga Instruction,Physical Fitness Consultants & Trainers","(212) 792-5776","19 Clinton St,New York,NY","5","2","",""
"11. ","Ashtanga Yoga Shala","","10009","http://www.aysnyc.org","Yoga Instruction","","","Yoga Instruction","(212) 614-9537","295 E 8th St,New York,NY","5","2","",""
"12. ","Yoganesh Yoga","yoganeshyoga@gmail.com","10011","http://www.yoganesh.com","Yoga Instruction","Sports Instruction","","Yoga Instruction,Sports Instruction","(646) 326-7471","232 7th Ave,New York,NY","5","2","",""
"13. ","Body & Brain Yoga Tai chi","manhattan@bodynbrain.com","10001","http://www.bodynbrain.com/manhattan","Yoga Instruction","Exercise & Physical Fitness Programs","Meditation Instruction","Yoga Instruction,Exercise & Physical Fitness Programs,Meditation Instruction","(212) 691-7799","830 6th Ave 3rd floor (29th St),New York,NY","5","2","",""
"14. ","Mangoh Holistic Health Studio","sayhi@mangohstudio.com","10016","http://www.mangohstudio.com","Yoga Instruction","Dancing Instruction","Exercise & Physical Fitness Programs","Yoga Instruction,Dancing Instruction,Exercise & Physical Fitness Programs,Health & Fitness Program Consultants,Health Resorts,Physical Fitness Consultants & Trainers","(212) 661-6655","322 E 39th St,New York,NY","5","2","",""
"15. ","Dahn Yoga","","10065","http://dahnyoga.com/bay-ridge","Yoga Instruction","Martial Arts Instruction","Self Defense Instruction & Equipment","Yoga Instruction,Martial Arts Instruction,Self Defense Instruction & Equipment","(212) 249-0077","1128 3rd Ave,New York,NY","5","2","",""
"16. ","YogaWorks","parkeast@dahnyoga.com","10021","http://www.yogaworks.com","Yoga Instruction","Exercise & Physical Fitness Programs","Meditation Instruction","Yoga Instruction,Exercise & Physical Fitness Programs,Meditation Instruction,Personal Fitness Trainers","(212) 650-9642","1319 3rd Ave,New York,NY","5","2","",""
"17. ","Bikram Yoga Harlem","info@bikramyogaharlem.com","10031","http://bikramyoga.com","Yoga Instruction","","","Yoga Instruction","(212) 926-0753","518 W 145th St Frnt 1,New York,NY","5","2","",""
"18. ","The Yoga Room","director@the-yoga-room.com","11101","http://www.the-yoga-room.com","Yoga Instruction","","","Yoga Instruction","(718) 786-7962","1014 47th Ave,Long Island City,NY","5","2","",""
"19. ","AuM Body & Soul Spa","","07093","http://aumbodyandsoul.com","Day Spas","Beauty Salons","Holistic Practitioners","Day Spas,Beauty Salons,Holistic Practitioners,Massage Therapists,Yoga Instruction","(201) 520-0211","7000 J F Kennedy Boulevard East,Guttenberg,NJ","5","2","",""
"20. ","Mahayogi Yoga Mission","","10014","http://www.mahayogiyogamission.org/contact/index.html","Yoga Instruction","","","Yoga Instruction","(212) 807-8903","228 Bleecker St,New York,NY","5","1","",""
"21. ","Ishta Yoga","reception@ishtayoga.com","10003","http://www.ishtayoga.com","Yoga Instruction","","","Yoga Instruction","(212) 598-4800","56 E 11th St,New York,NY","5","1","",""
"22. ","Kundalini Yoga East Inc","kundaliniyogaeast@earthlink.net","10003","http://www.kundaliniyogaeast.com","Yoga Instruction","","","Yoga Instruction","(212) 982-5959","873 Broadway,New York,NY","5","1","",""
"23. ","Dharma Yoga East","info@dharmayogacenter.com","10010","http://omdharmayoga.blogspot.com","Yoga Instruction","","","Yoga Instruction","(212) 889-8160","297 3rd Ave,New York,NY","5","1","",""
"24. ","Iyengar Yoga Institute","","10011","http://www.iyengarnyc.org","Yoga Instruction","Sports Instruction","","Yoga Instruction,Sports Instruction","(212) 691-9642","150 W 22nd St Fl 2,New York,NY","5","1","",""
"25. ","Universal Force Yoga","","10010","","Yoga Instruction","","","Yoga Instruction","(917) 606-1730","7 W 24th St,New York,NY","5","1","",""
"26. ","iYogaClass.com","info@iyogaclass.com","10025","http://www.iyogaclass.com","Yoga Instruction","","","Yoga Instruction","(646) 915-0369",",New York,NY","5","1","",""
"27. ","Shawna Cordell Fitness","","10013","http://cordellfitness.com","Exercise & Physical Fitness Programs","Gymnasiums","Health Clubs","Exercise & Physical Fitness Programs,Gymnasiums,Health Clubs,Personal Fitness Trainers,Physical Fitness Consultants & Trainers,Pilates Instruction & Equipment,Yoga Instruction","(212) 925-7177","405 Broome St,New York,NY","5","1","",""
"28. ","The Pilates Room, NYC","info@thepilatesroomnyc.com","10001","http://www.thepilatesroomnyc.com","Health Clubs","Day Spas","Exercise & Physical Fitness Programs","Health Clubs,Day Spas,Exercise & Physical Fitness Programs,Gymnasiums,Medical Spas,Personal Fitness Trainers,Physical Fitness Consultants & Trainers,Yoga Instruction","(212) 206-1827","150 W 28th St Ste 901,New York,NY","5","1","",""
"29. ","Dr. Daniel Fenster","lisa@completewellnessnyc.com","10022","http://completewellnessnyc.com","Health Clubs","Acupuncture","Chiropractors & Chiropractic Services","Health Clubs,Acupuncture,Chiropractors & Chiropractic Services,Massage Therapists,Pain Management,Physical Therapy Clinics,Physicians & Surgeons,Weight Loss Management,Yoga Instruction","(212) 737-9000","30 E 60th St Rm 302,New York,NY","5","1","",""
"30. ","Quantum Elite Training","qelitetraining@gmail.com","10032","","Meditation Instruction","Personal Development","Personal Fitness Trainers","Meditation Instruction,Personal Development,Personal Fitness Trainers,Self Defense Instruction & Equipment,Yoga Instruction","(347) 541-8420",",New York,NY","5","1","",""
"91. ","Bananahandles Inc","","10002","","Yoga Instruction","","","Yoga Instruction","(646) 299-2971","172 Allen St Frnt 2,New York,NY","","","",""
"92. ","Katonah Yoga Bowery","","10012","http://boweryyoga.com","Yoga Instruction","","","Yoga Instruction","(917) 885-0278","302 Bowery,New York,NY","","","",""
"93. ","CorePower Yoga","ny-noho@corepoweryoga.com","10012","https://www.corepoweryoga.com/yoga-studios/new-york/new-york/noho","Yoga Instruction","Exercise & Physical Fitness Programs","","Yoga Instruction,Exercise & Physical Fitness Programs","(646) 891-4790","59 Bleecker St,New York,NY","","","",""
"94. ","Yoga Vida","","10012","http://yogavida.com","Yoga Instruction","","","Yoga Instruction","(212) 845-9973","666 Broadway,New York,NY","","","",""
"95. ","Akasha Studio","","10012","","Yoga Instruction","","","Yoga Instruction","(212) 228-9005","54 Great Jones St,New York,NY","","","",""
"96. ","Creative Energy Yoga","michelle@creativenergyoga.com","10003","","Yoga Instruction","","","Yoga Instruction","(347) 542-7855","40 E 3rd St,New York,NY","","","",""
"97. ","Shiva Shanti Yoga School","","10009","http://www.shivashantiyoga.com","Yoga Instruction","","","Yoga Instruction","(201) 531-9642","12 Avenue A,New York,NY","","","",""
"98. ","Little Flower Yoga Studio","","10003","http://www.littlefloweryoga.com","Yoga Instruction","","","Yoga Instruction","(917) 385-2005","711 Broadway Ste 218,New York,NY","","","",""
"99. ","Bonada","","10009","","Yoga Instruction","","","Yoga Instruction","(646) 692-9398","110 1st Ave,New York,NY","","","",""
"100. ","Gesundheit","","10003","","Yoga Instruction","","","Yoga Instruction","(212) 228-0649","12 Saint Marks Pl,New York,NY","","","",""
"101. ","Sky Blue Yoga","","10014","http://blueskyyoga.com","Yoga Instruction","","","Yoga Instruction","(212) 989-9874","95 Christopher St,New York,NY","","","",""
"102. ","Bikram's Yoga College Of India","","10014","http://bikramyoga.com","Yoga Instruction","","","Yoga Instruction","(212) 366-5060","401 Avenue Of The Americas,New York,NY","","","",""
"103. ","CorePower Yoga","ny-thevillage@corepoweryoga.com","10011","https://www.corepoweryoga.com/yoga-studios/new-york/new-york/village","Yoga Instruction","Exercise & Physical Fitness Programs","","Yoga Instruction,Exercise & Physical Fitness Programs","(332) 900-7136","56 W 8th St,New York,NY","","","",""
"104. ","Laughing Lotus Yoga Center","","10014","http://www.laughinglotus.com","Yoga Instruction","","","Yoga Instruction","(212) 414-2903","55 Christopher St,New York,NY","","","",""
"105. ","The Yoga Therapist","","10014","http://www.yogasanctuary.net","Yoga Instruction","","","Yoga Instruction","(914) 575-9763","140 Charles St,New York,NY","","","",""
"106. ","Body Logic","","10014","","Yoga Instruction","","","Yoga Instruction","(212) 633-0401","132 Perry St,New York,NY","","","",""
"107. ","Yamuna","support@yamunabodyrolling.com","10014","http://www.yamunabodyrolling.com","Yoga Instruction","Exercise & Physical Fitness Programs","Gymnasiums","Yoga Instruction,Exercise & Physical Fitness Programs,Gymnasiums,Health Clubs,Physical Fitness Consultants & Trainers","(212) 633-2143","132 Perry St,New York,NY","","","",""
"108. ","Buddha Body Yoga Tm","info@buddhabodyyoganyc.com","10003","http://www.buddhabodyoga.com","Yoga Instruction","","","Yoga Instruction","(212) 473-0166","80 E 11th St,New York,NY","","","",""
"109. ","Moksha Yoga Nyc","info@mokshayoganyc.com","10011","","Yoga Instruction","","","Yoga Instruction","(212) 780-9642","434 Avenue Of The Americas Fl 2,New York,NY","","","",""
"110. ","Modo Yoga NYC","","10011","http://nyc.modoyoga.com","Yoga Instruction","","","Yoga Instruction","(212) 780-9642","434 Avenue Of The Americas Fl 2,New York,NY","","","",""
"111. ","The Shala","info@theshala.com","10003","http://www.theshala.com","Yoga Instruction","","","Yoga Instruction","(212) 979-9988","815 Broadway,New York,NY","","","",""
"112. ","Yoga Vida","","10003","http://yogavida.com","Yoga Instruction","","","Yoga Instruction","(212) 995-5553","99 University Pl,New York,NY","","","",""
"113. ","Flow & Grow Kids Yoga","","10003","https://www.flowandgrowkidsyoga.com","Yoga Instruction","","","Yoga Instruction","(774) 353-6591","1 Irving Pl,New York,NY","","","",""
"114. ","DeRose Method Greenwich Village","Greenwich.us@DeRoseMethod.org","10011","http://www.derosemethodgreenwich.org","Yoga Instruction","Health & Fitness Program Consultants","","Yoga Instruction,Health & Fitness Program Consultants","(917) 727-0233","523 Avenue Of The Americas,New York,NY","","","",""
"115. ","East Yoga Center","info@eastyoga.com","10009","http://www.eastyoga.com","Yoga Instruction","","","Yoga Instruction","(212) 420-8411","212 Avenue B,New York,NY","","","",""
"116. ","Savasana Station","","10009","http://savasanastation.com","Yoga Instruction","","","Yoga Instruction","(917) 289-2393","212 Avenue B,New York,NY","","","",""
"117. ","Orly Yoga","","10011","http://www.orlyyoga.com","Yoga Instruction","","","Yoga Instruction","(917) 371-9902","29 W 15th St,New York,NY","","","",""
"118. ","Practice Yoga","","10011","http://practiceyoga.com","Yoga Instruction","","","Yoga Instruction","(212) 255-7588","240 W 14th St,New York,NY","","","",""
"119. ","Pilates On The Square","","10003","","Yoga Instruction","","","Yoga Instruction","(646) 850-0378","857 Broadway, 2nd Floor,New York,NY","","","",""
"120. ","Centerpoint Studios","","10003","http://www.atmananda.com","Yoga Instruction","","","Yoga Instruction","(212) 625-1511","67 Irving Pl,New York,NY","","","",""
"31. ","Queens Yoga Studios Corporation","","11103","","Yoga Instruction","","","Yoga Instruction","(718) 777-9642","3203 Steinway St,Astoria,NY","5","1","",""
"32. ","Divamukti Yoga","","11103","http://divamukti.com","Yoga Instruction","","","Yoga Instruction","(917) 916-6824","4507 25th Ave Apt 1,Astoria,NY","5","1","",""
"33. ","Living Yoga","info@mylivingyoga.com","11375","https://mylivingyoga.com","Yoga Instruction","","","Yoga Instruction","(718) 261-9642","11720 Queens Blvd,Forest Hills,NY","5","1","",""
"34. ","Rinaldi Pilates","info@rinaldipilates.com","10003","https://thepilateslocal.com","Yoga Instruction","Exercise & Physical Fitness Programs","Health & Fitness Program Consultants","Yoga Instruction,Exercise & Physical Fitness Programs,Health & Fitness Program Consultants,Physical Fitness Consultants & Trainers","(212) 228-5532","327 E 12th St,New York,NY","5","29","",""
"35. ","Pilates Shop Yoga Garage","info@psygnyc.com","10025","http://www.psygnyc.com","Yoga Instruction","","","Yoga Instruction","(212) 316-9164","2805 Broadway,New York,NY","5","25","",""
"36. ","Creative Vibrations Yoga Studio And Spa","","11105","http://yogaastoria.com","Yoga Instruction","Physical Fitness Consultants & Trainers","","Yoga Instruction,Physical Fitness Consultants & Trainers","(347) 345-6095","2255 31st St,Astoria,NY","5","8","",""
"37. ","Atmananda Yoga Sequence NYC HQ","manager@atmananda.com","10010","http://www.atmananda.com","Yoga Instruction","","","Yoga Instruction","(212) 625-1511","112 E 23rd St Suite 200,New York,NY","5","26","",""
"38. ","Yoga to the People","info@yogatothepeople.com","10003","http://www.yogatothepeople.com","Yoga Instruction","Exercise & Physical Fitness Programs","Sports Instruction","Yoga Instruction,Exercise & Physical Fitness Programs,Sports Instruction","(917) 573-9642","12 Saint Marks Pl,New York,NY","5","10","",""
"39. ","MAUSA Health & Fitness Center","info@studymartialarts.com","11238","http://www.studymartialarts.com","Yoga Instruction","Martial Arts Instruction","","Yoga Instruction,Martial Arts Instruction","(718) 210-3190","759 Washington Ave,Brooklyn,NY","5","4","",""
"40. ","Elite Fitness Studio","david@elitetrainingandfitness.com","11231","http://www.elitetrainingandfitness.com","Children's Instructional Play Programs","Exercise & Fitness Equipment","Exercise & Physical Fitness Programs","Children's Instructional Play Programs,Exercise & Fitness Equipment,Exercise & Physical Fitness Programs,Health & Fitness Program Consultants,Health Clubs,Health Resorts,Physical Fitness Consultants & Trainers,Pilates Instruction & Equipment,Rehabilitation Services,Sporting Goods,Weight Control Services,Yoga Instruction","(718) 596-0006","111 Union St,Brooklyn,NY","4.5","51","",""
"41. ","Area Emporium & Spa","areaspabrooklyn@gmail.com","11231","http://www.areabrooklyn.com","Health Clubs","Day Spas","Massage Therapists","Health Clubs,Day Spas,Massage Therapists,Tanning Salons,Weight Control Services,Yoga Instruction","(718) 624-3157","281 Smith St,Brooklyn,NY","4.5","9","",""
"42. ","Bamboo Moves","foresthills@bamboomovesyoga.com","11375","http://www.bamboomovesfh.com","Dancing Instruction","Martial Arts Instruction","Massage Therapists","Dancing Instruction,Martial Arts Instruction,Massage Therapists,Physical Fitness Consultants & Trainers,Yoga Instruction","(718) 263-0788","10740 Queens Blvd Ste 206,Forest Hills,NY","4.5","8","",""
"43. ","Evolutions Sports Club","","11101","","Health Clubs","Exercise & Physical Fitness Programs","Gymnasiums","Health Clubs,Exercise & Physical Fitness Programs,Gymnasiums,Personal Fitness Trainers,Physical Fitness Consultants & Trainers,Yoga Instruction","(718) 349-3494","3711 35th Ave,Long Island City,NY","4.5","16","",""
"44. ","Method Fitness Wellness","","10017","http://methodfitness.com","Personal Fitness Trainers","Exercise & Physical Fitness Programs","Gymnasiums","Personal Fitness Trainers,Exercise & Physical Fitness Programs,Gymnasiums,Health & Fitness Program Consultants,Health Clubs,Physical Fitness Consultants & Trainers,Yoga Instruction","(212) 255-5842","132 E 43rd St Ste 443,New York,NY","4.5","30","",""
"45. ","Five Points Academy","info@AcademyFivePoints.com","10013","http://www.academyfivepoints.com","Health Clubs","Exercise & Physical Fitness Programs","Gymnasiums","Health Clubs,Exercise & Physical Fitness Programs,Gymnasiums,Personal Fitness Trainers,Physical Fitness Consultants & Trainers,Yoga Instruction","(212) 226-4474","148 Lafayette St,New York,NY","4.5","8","",""
"46. ","Groundfloor Exercise","info@groundfloornyc.com","10023","http://www.groundfloornyc.com","Exercise & Physical Fitness Programs","Physical Fitness Consultants & Trainers","Pilates Instruction & Equipment","Exercise & Physical Fitness Programs,Physical Fitness Consultants & Trainers,Pilates Instruction & Equipment,Yoga Instruction","(212) 724-1727","139 W 72nd St,New York,NY","4.5","2","",""
"47. ","Mimi For Me Yoga","info@MimiForMeYoga.com","11372","http://www.mimiformeyoga.com","Yoga Instruction","","","Yoga Instruction","(718) 505-9642","7611 37th Ave,Jackson Heights,NY","4.5","2","",""
"48. ","Sonic Yoga","info@sonicyoga.com","10019","http://www.sonicyoga.com","Yoga Instruction","Physical Fitness Consultants & Trainers","","Yoga Instruction,Physical Fitness Consultants & Trainers","(212) 397-6344","944 8th Ave,New York,NY","4.5","32","",""
"49. ","Giving Tree Yoga Studio","info@thegivingtreeyogastudio.com","11105","http://www.thegivingtreeyogastudio.com","Yoga Instruction","","","Yoga Instruction","(718) 728-0110","2256 31st St,Astoria,NY","4.5","6","",""
"50. ","Jennifer Hutz","info@jenniferhutz.com","10001","http://www.jenniferhutz.com","Health & Fitness Program Consultants","Exercise & Physical Fitness Programs","Weight Control Services","Health & Fitness Program Consultants,Exercise & Physical Fitness Programs,Weight Control Services,Yoga Instruction","(212) 206-1976","145 W 28th St,New York,NY","4.5","18","",""
"51. ","The yoga room","outreach@the-yoga-room.com","11101","http://www.the-yoga-room.com","Yoga Instruction","Physical Fitness Consultants & Trainers","","Yoga Instruction,Physical Fitness Consultants & Trainers","(718) 274-0255","3801 35th Ave,Long Island City,NY","4.5","4","",""
"52. ","Steve Sweat NYC Fitness","","10011","http://stevesweatnyc.homestead.com","Day Spas","Gymnasiums","Yoga Instruction","Day Spas,Gymnasiums,Yoga Instruction","(917) 553-0267","22 W 19th St,New York,NY","4","2","",""
"53. ","Yogasana Center For Yoga","info@yogasanacenter.com","11217","http://www.yogasanacenter.com","Yoga Instruction","","","Yoga Instruction","(718) 789-7255","118 3rd Ave,Brooklyn,NY","4","6","",""
"54. ","OM Yoga","","10003","","Yoga Instruction","Health Resorts","Sports Instruction","Yoga Instruction,Health Resorts,Sports Instruction","(212) 254-9642","826 Broadway Fl 6,New York,NY","4","17","",""
"55. ","Prana Power Yoga","","10003","http://www.pranapoweryoga.com","Yoga Instruction","","","Yoga Instruction","(212) 460-9642","862 Broadway,New York,NY","4","5","",""
"56. ","Smart Workout","smartworkout@verizon.net","10016","http://www.smartworkout.net","Health Clubs","Exercise & Physical Fitness Programs","Gymnasiums","Health Clubs,Exercise & Physical Fitness Programs,Gymnasiums,Personal Fitness Trainers,Physical Fitness Consultants & Trainers,Pilates Instruction & Equipment,Yoga Instruction","(212) 661-1660","124 E 40th St Ste 603,New York,NY","4","24","",""
"57. ","Yamuna Body Rolling","","10014","","Yoga Instruction","Exercise & Physical Fitness Programs","Physical Fitness Consultants & Trainers","Yoga Instruction,Exercise & Physical Fitness Programs,Physical Fitness Consultants & Trainers","(212) 367-9570","416 W 13th St,New York,NY","4","4","",""
"58. ","New York Yoga","info@newyorkyoga.com","10028","https://newyorkyoga.com","Yoga Instruction","Exercise & Physical Fitness Programs","Meditation Instruction","Yoga Instruction,Exercise & Physical Fitness Programs,Meditation Instruction,Physical Fitness Consultants & Trainers","(212) 717-9642","1629 York Ave,New York,NY","3.5","7","",""
"59. ","Lila Yoga Wellness & Womans","","10012","http://www.lilawellness.com","Yoga Instruction","","","Yoga Instruction","(212) 254-2130","302 Bowery Apt 2,New York,NY","3.5","3","",""
"60. ","Ludlow Fitness","info@ludlowfitness.com","10002","http://www.ludlowfitness.com","Health Clubs","Exercise & Physical Fitness Programs","Gymnasiums","Health Clubs,Exercise & Physical Fitness Programs,Gymnasiums,Personal Fitness Trainers,Physical Fitness Consultants & Trainers,Yoga Instruction","(212) 260-9222","100 Delancey St,New York,NY","3.5","3","",""
