"Company","Primary focus","Location","Founded","Website","Business model","Protein category","Ingredients","Technology focus"
"Alfred's Food Tech Ltd.","Food and beverages","Israel","2021","linkedin.com","Contract manufacturing","Plant-based","",""
"CuLiangwany","Food and beverages","China","1998","coca-cola.com.cn","End-consumer brands & products","Plant-based","Almond, Beans, Black beans, Coconut, Corn, Dates, Oat, Potato, Rice, Sesame, Soy, Walnut",""
"Nutralys Plant Protein by Roquette","Food and beverages","United States","1989","roquette.com","Ingredients & inputs","Plant-based","Fava bean, Pea, Pulses, Wheat","Ingredient optimization"
"Simply Beverages","Food and beverages","United States","2001","drinksimplybeverages.com","End-consumer brands & products","Plant-based","Almond, Oat",""
"Liberate Foods","Food and beverages","India","2020","liberatefoods.com","End-consumer brands & products","Plant-based","",""
"GoGood","Food and beverages","Japan","2009","c.cocacola.co.jp","End-consumer brands & products","Plant-based","Oat",""
"Evolved Foods","Food and beverages","India","2020","evolvedfoods.in","End-consumer brands & products","Plant-based","Soy",""
"Drygro","Food and beverages","United Kingdom","2015","drygro.com","Ingredients & inputs","Plant-based","Duckweed, Lemna","Crop development, Ingredient optimization"
"Gold&Green Foods","Food and beverages","Finland","2015","goldandgreenfoods.com","End-consumer brands & products","Plant-based","Cereals, Fava bean, Oat, Pea, Pulses, Rapeseed, Tomatoes",""
"This is Seaweed","Dietary supplements and substitutes","Ireland","2015","thisisseaweed.com","Infrastructure & equipment, Ingredients & inputs","Plant-based","Algae, Seaweed","Ingredient optimization, Scaffolding and structure, Target molecule selection"
"ESCO ASTER PTE LTD","Food and beverages","Singapore","2017","escoaster.com","Contract manufacturing","Cultivated","","Bioprocess design"
"Eat Well Group","Food and beverages","Canada","2021","eatwellgroup.com","Ingredients & inputs","Plant-based","","Ingredient optimization"
"ESCO ASTER PTE LTD","Food and beverages","Singapore","2017","escoaster.com","Contract manufacturing","Cultivated","","Bioprocess design"
"SGProtein","Food and beverages","Singapore","2021","eatSGProtein.com","Contract manufacturing","Plant-based","Blend","High moisture extrusion"
"Arizona Jerky Co.","Food and beverages","United States","","arizonajerkyco.com","End-consumer brands & products","Plant-based","Soy",""
"OatMlk","Dietary supplements and substitutes","India","2020","oatmlk.in","End-consumer brands & products","Plant-based","Oat, Water","Ingredient optimization"
"Infinite Foods","Food and beverages","South Africa","2018","infinitefoods.com","End-consumer brands & products","Plant-based","Pea, Soy, Wheat",""
"UPSIDE Foods","Biomaterials, Food and beverages, Other","United States","2015","upsidefoods.com","End-consumer brands & products","Cultivated","","Bioprocess design, Cell culture media, Cell line development"
"Rabbit Hole Foods","Food and beverages","United States","2016","Www.rabbitholefoods.com","End-consumer brands & products","Plant-based","Chickpea",""
"Formo","Food and beverages","Germany","2019","formo.bio","End-consumer brands & products","Fermentation","","Precision fermentation"
"Hey Planet","Food and beverages","Denmark","","hey-planet.com","End-consumer brands & products","Plant-based","buffalo beetles, Pea",""
"Kemutec","Animal feed and pet food, Food and beverages, Infant nutrition","United Kingdom","2009","kemutec.com","Contract manufacturing","Plant-based","",""
"Hoow Foods","Dietary supplements and substitutes, Food and beverages, Other","Singapore","2018","hoowfoods.com","End-consumer brands & products, Ingredients & inputs","Plant-based","Egg","Ingredient optimization"
"Recysol Foundation / Quimbayaland Brand","Biomaterials, Dietary supplements and substitutes, Infant nutrition, Other","Colombia","2013","recysol.org","End-consumer brands & products, Ingredients & inputs","Cultivated, Plant-based","Other, Other seeds, Pollen, Texturized Vegetable Protein","Bioprocess design, Feedstocks"
"Brotos","Food and beverages","India","2018","brotos.co.in","End-consumer brands & products","Plant-based","Sprouts",""
"Green Heads","Food and beverages","Czech Republic","2018","greenheads.eu","End-consumer brands & products","Plant-based","Almond, Fava bean, Lupin, Lupine, Matcha, Oat, Pea, Soy, Spelt",""
"Neoproteins","Food and beverages","Argentina","2020","neoproteins.com","Ingredients & inputs","Fermentation, Plant-based","","Ingredient optimization"
"Yeap","Dietary supplements and substitutes, Food and beverages","Israel","2020","yeap-proteins.com","Ingredients & inputs","Fermentation","Yeast",""
"CRB","Animal feed and pet food, Biomaterials, Dietary supplements and substitutes, Food and beverages, Infant nutrition, Other","United States","1984","crbgroup.com","Infrastructure & equipment","Cultivated, Fermentation, Plant-based","","3D printing, Biomass fermentation, Bioprocess design, Cell culture media, Cell line development, Crop development, Extrusion, Feedstocks, Gas fermentation, High moisture extrusion, Host strain development, Ingredient optimization, Low moisture extrusion, Precision fermentation, Scaffolding and structure, Shear cell extrusion, Solid State Fermentation, Target molecule selection, Traditional fermentation"
"Proteina Co., Ltd.","Biomaterials","South Korea","2015","proteina.co.kr","Infrastructure & equipment","Cultivated","","Target molecule selection"
"Tempty Foods","Food and beverages","Denmark","2021","tempty-foods.com","End-consumer brands & products","Fermentation","Mycelium",""
"Brew51","Food and beverages","India","2020","brew51.com","End-consumer brands & products","Plant-based","",""
"Umami Meats","Food and beverages","Singapore","2020","umamimeats.com","End-consumer brands & products, Ingredients & inputs","Cultivated","","Bioprocess design, Cell culture media, Cell line development, Scaffolding and structure"
"Balpro","Food and beverages","Germany","2019","balpro.de","Contract manufacturing","Cultivated, Fermentation, Plant-based","",""
"The Green Mountain","Food and beverages","Switzerland","2019","thegreenmountain.ch","End-consumer brands & products","Fermentation, Plant-based","Pea, Wheat",""
"Sincarne","Food and beverages","United States","2021","sincarne.com","End-consumer brands & products","Fermentation","Myco-protein","Biomass fermentation"
"Plantish","Food and beverages","India","2021","plantishfoods.com","End-consumer brands & products","Plant-based","",""
"Roslin Technologies","Animal feed and pet food, Food and beverages","United Kingdom","2017","roslintech.com","Ingredients & inputs","Cultivated","Other","Cell line development"
"Think Ingredients Inc.","Food and beverages","Canada","2016","thinkingredients.com","Ingredients & inputs","Plant-based","Blend, Cellulose, Jackfruit, Mushrooms, Spinach, Texturized Vegetable Protein, Vegetables, Yeast",""
"Lovingly Made Ingredients","Animal feed and pet food, Food and beverages","Canada","2020","lovinglymadeingredients.com","Contract manufacturing, End-consumer brands & products, Ingredients & inputs","Plant-based","Beans, Chickpea, Fava bean, Hemp, Lentils, Mung Bean, oats, Pea, Pulses, Texturized Vegetable Protein, Yeast","Extrusion, High moisture extrusion, Low moisture extrusion"
"Angel Food","Food and beverages","New Zealand","2006","angelfood.co.nz","End-consumer brands & products","Plant-based","Pea, Starch",""
"Plant and Bean ltd","Food and beverages","United Kingdom","2019","plantandbean.com","Contract manufacturing, End-consumer brands & products","Plant-based","Egg, Potato, Soy","Extrusion, Ingredient optimization"
"Hilcona","Food and beverages","Switzerland","1935","hilcona.com","End-consumer brands & products","Plant-based","Soy","Crop development, Extrusion, High moisture extrusion, Ingredient optimization, Traditional fermentation"
"SeaSpire","Food and beverages","India","2021","seaspire.in","End-consumer brands & products, Infrastructure & equipment","Plant-based","Chickpea, Rice","3D printing"
"FUROID™️","Biomaterials","The Netherlands","2017","furoid.com","Contract manufacturing, End-consumer brands & products","Cultivated","","3D printing"
"PeproTech","Food and beverages","United States","1988","peprotech.com","Ingredients & inputs","Cultivated","","Cell culture media, Precision fermentation"
"Laurus Bio Pvt Ltd (Formerly Richcore Lifesciences Pvt Ltd)","Food and beverages","India","","richcoreindia.com","Ingredients & inputs","Cultivated","","Cell culture media, Precision fermentation"
