address1,city,zip,subDivision,state,beds,baths,full_baths,half_baths,price,lotSizeSqFt,sqft,yearBuilt,dateAdded,description
 Address Withheld,Edmonton,T5P 0L2,Glenwood (Edmonton),AB,3,3,2,1,"$449,900",3630.56,1706,2018,10/10/2021,"Absolutely Immaculate, BRAND NEW, 1700 sf situated in the Great West end/Desirable community of Glendwood! Main floor greets you with Open Concept Modern Floor Plan features Living room with Bright Windows/9 feet High Ceilings/Lots of Pot Lights adjacent to Spacious Kitchen offers High Quality Kitchen Cabinetry/Backsplash Tile/Granite Counter Tops, all with Gorgeous Tile floorings through out. Family room with Fireplace, Back Door to Deck & Fully landscaped Back Yard/Back lane has Double Parking Concrete Pad.  Convenient Main floor 1/2 Bathroom.  Stunning Glass Staircase leads you to Upper floor features 3 Sizable Bedrooms all with Bright Windows. Master Bedroom comes with Fireplace & 5pc En-suite with Double Sinks. SIDE DOOR SEPARATE ENTRANCE TO BASEMENT for High Potential Future Suite development.  Easy access to Park/Public Trasp/Schools/WEM Shopping Centre & all amenities. Quick possession available. Just move in & enjoy!"
7712 Koruluk Lane,Edmonton,T6W 4R7,Keswick Area,AB,3,4,3,1,"$475,012",2303.69,1534,2020,10/10/2021,"QUICK POSSESSION Contemporary Style Duplex 2 storey offering 1550 Sq. ft. w/ 9' Ceilings incl. FULLY FINISHED 1 BED/1BATH LEGAL BASEMENT SUITE BACKING ON TO PARK, stackable laundry, impressive luxury vinyl flooring main floor & upstairs, SS Appliance Package for MAIN & BSMT KITCHEN, GRANITE/QUARTZ CTPS, Kitchen CABS to ceiling, built-in corner pantry, full height tile backsplash, island w/overhang, triple pane windows, HRV & high efficiency furnace. Spacious floor plan w/sizable foyer, lavish & imposing family room w/ electric fireplace & stone feature wall, nook area & 2pc bath. Upstairs has luxurious owner's suite w/coffered 10' ceilings & oversize walk in closet & 4pc ensuite bath. Palatial Bonus Room w/open balcony & glass railings, Upstairs Laundry w/sink & 2 largish beds, linen & full 3pc bath. Comes with WINDOW BLINDS, ALL FURNITURE, FULLY LANDSCAPED FRONT & BACK. OVERSIZE DOUBLE GARAGE. PRICED TO SELL!!"
26231 Twp Rd 544,Rural Sturgeon County,T8T 1N3,None,AB,4,4,4,-1,"$974,900",-1.0,2804,2015,10/10/2021,"MINUTES TO STURGEON RIVER! QUICK ACCESS TO ST. ALBERT! 38X100ft QUONSET! Enjoy privacy & tranquility with 7.8 acres of fenced land. Stately 2,800sqft 2 storey home has functional open concept floor plan that is perfect for living & entertaining! Contemporary kitchen has timeless white cabinetry, stainless appliances including gas stove, expansive granite counters, massive island w/seating, walk thru pantry plus large eating area surrounded by windows & bathed in natural light. Living room has cozy gas fireplace. Main floor is complete with den & 3pce bath with dog wash. Upstairs houses 3 generous size bedrooms including spacious master with walk-thru closet & 5pce ensuite - double sinks, luxurious soaker tub & glass shower. Bright bonus room offers tons of space. Finished basement has add'l bedroom, 4pce bath, family room, recreation area w/golf simulator & wetbar. Features include reclaimed barn wood door, 10ft ceilings, convenient upstairs laundry, A/C, infloor heat & custom window coverings. MOVE IN!"
4904 51Ave,Lavoy,T0B 1S0,Lavoy,AB,3,2,2,-1,"$219,000",-1.0,1518,2013,10/10/2021,"ENJOY THIS 2013 MODULAR HOME SITUATED ON 2 LOTS IN A TREED CORNER IN LAVOY.  This home has a WOW factor when you walk in. Specifically designed by the owner you will notice the open concept with the kitchen boasting beautiful cabinetry and all the top end appliances any chief would appreciate. Vaulted ceilings, laminate flooring, plenty of storage space, the list is endless. With 3 bedrooms, a 4 pc. bath plus a 4 pc. ensuite, spacious laundry room ... a family has room to relax. The yard has a storage shed, a parking pad for an RV. or boat(with alley access ), a west facing 16x20 deck plus a front deck. On town water and sewer. Air conditioned ...  Quick possession available if need be. this home is on screw pilings - secured and welded ..."
133 Darlington Terrace,Sherwood Park,T8H 1N8,Davidson Creek,AB,4,4,3,1,"$428,000",9224.66,1442,1990,10/10/2021,"See Realtor Website for more information.  Bright & inviting from the entrance with refinished staircase & 2 new south east windows in living room/kitchen providing great views of the yard. Lots of light and character makes this home a delight to be in. Kitchen has granite countertops, new counter depth fridge and new stove. Large primary bedroom has newer carpet, ensuite, walk in closet, patio doors to your balcony overlooking the yard. Bedrooms 2 & 3 have vinyl plank flooring, fresh paint, ceiling fans and closet organizers. Basement is fully finished with the 4th bathroom, laminate flooring throughout with tiles in the bathroom and laundry/mechanical room. High efficiency furnace & A/C in 2017 John Wood HWT, large capacity washer and dryer 2017. Irrigation, 14x16 shed, 10x12 balcony, 9.5x11 pergola, Single insulated garage. Shingles redone 2016. Includes all window coverings, exterior benches & patio cushion storage bench. Sweet place to call home!"
11 Mount Royal Drive,St. Albert,T8N 1J3,Mission (St. Albert),AB,4,2,2,-1,"$499,900",-1.0,1126,1960,10/10/2021,"Legal basement suite!  Live upstairs and rent out the suite or have two great income properties.  Beautifully maintained home on huge lot with awesome walkability- close to the Sturgeon River and backing on parkland.  Three bedrooms upstairs (centre one has been used as a den with patio doors to deck) Large living room, kitchen with dining and tons of storage.  Large primary bedroom.   Lovely bright bathroom.  Downstairs is the shared laundry room.  Suite has private access from driveway.  Oversize double garage and plenty of parking.  No homes behind the house as it backs on park."
1140 161 Street,Edmonton,T6W 2W6,Glenridding Heights,AB,4,4,3,1,"$398,000",3274.27,1341,2015,10/10/2021,"Fully finished top to bottom! Move in ready this home offers brand new vinyl plank flooring throughout main floor. Nice kitchen with cappuccino maple cabinets with crown molding, island and tile backsplash. Open concept living area plus dining room. Main floor laundry with front load Samsung washer and dryer. Upper floor boasts 3 bedroom. Master bedroom has full ensuite with window. Basement is fully finished with rec room, bedroom and full bath. Central AC!! Double garage built 2x6(!) is fully insulated and enhanced with triple glaze window. Shows very nice. Move in ready!"
75 Orchid Cres.,Sherwood Park,T8H 2E2,Clarkdale Meadows,AB,4,3,3,-1,"$479,900",-1.0,1616,2001,10/10/2021,"Great yard, great family neighborhood, walking distance to parks!  This well maintained 1.5 story home in Clarkdale Meadows sits on a quiet street flanked by excellent neighbors.  Fabulous entryway with high vaulted ceilings and bold, rich colours.  Open concept main floor with island kitchen and stainless appliances.  Spacious living room with tile surround mantel fireplace.  Upstairs features three bedrooms with large master bedroom ensuite and tile surround tub.  Basement features its own 3-piece bathroom, second living room, fourth bedroom and storage areas.  Aesthetic and social backyard setup with raised garden beds and fire pit.  Some of the upgrades to this property include vinyl plank flooring in most main areas, new shingles in 2019, synthetic deck.  Desirable location - less than 5 minutes to Highway 21, Baseline Road, and Lakeland Ridge School (K-9).  Welcome home!"
60332 Rge Rd 50,Rural Barrhead County,T7N 1N3,None,AB,2,1,1,-1,"$199,957",-1.0,1109,1975,10/10/2021,"Home sweet home describes this quaint and private acreage. Whether looking for yr round or quiet getaway, this home is inviting & peaceful. Find a wood burning stove spreading warmth easily enhance with a mug of hot choc. & a good book. The 9x18 addition provides an extra family rm or a larger living rm w open feel, ready for memorable family times. Add. upgrades: insulation (siding removed, insulation repl. & siding repl. & painted), furnace & HWT (2016), newer appl, new skirting & metal roof. The 40x28, freshly painted (ext) shop includes 220 wiring, a concrete floor with drain & a 14 ft door; a great place for your extra vehicles, truck or RV. The huge heater and ins. ensure for a warm space. New well with submersible pump.  Don't forget the 24x28 machine shop for extra storage. Paage wire fencing (2018) surrounds this adorable sanctuary - waiting for your to move in! Come & see for yourself!"
 Address Withheld,Leduc,T9E 1M4,Black Stone,AB,4,3,2,1,"$497,900",4133.01,2182,2021,10/10/2021,"HOME IN CONSTRUCTION. Welcome to the Community of BLACKSTONE, this is the PROMINENCE model Built by Look Master Builder and offers 2181 sq.ft. You will love the open concept main floor, first you will find a main floor den leading you into the beautiful bright kitchen with a large island, two toned cabinetry, stone counters w/ under mount sink, white cabinets with crown molding, full height tile back splash, walk-thru pantry, and appliance credit $4000. The great room features an electric f/p w/ mantle, spacious nook to finish off the main floor. Other highlights; 9ft ceilings, vinyl plank/tile flooring. The second floor offers a large primary bedroom w/ a walk-in closet/5 piece en-suite, 3 more bedrooms, a 4-piece bathroom, a bonus room, tech space and laundry complete this level. Other features of this home include a HE furnace, triple pane windows, rear deck, oversized double attached garage (21'x22') & smart thermostat. Photos are not of actual home"
 Address Withheld,Edmonton,T5G 1H7,Alberta Avenue,AB,2,1,1,-1,"$304,900",3959.29,1407,1926,10/10/2021,"Charming, cute, cozy, character! Accurate descriptions of this 1,600 sq ft house in historic Alberta Avenue. If you love the beautiful unique homes in North Central Edmonton then this is a must see! Many upgrades to this delightful property include a kitchen remodel to add an open feeling and bring in lots of light, featuring a contemporary look highlighted by the original brick chimney & butler's pantry. Ample space throughout the main floor featuring hardwood and ceramic tile, a large living and dining area are welcoming and perfect for entertaining; 2 large bedrooms on main floor; one bedroom upper floor loft. Newly refreshed main bathroom. Upgrades include windows, furnace, HWT in 2013, kitchen remodel in 2014, entire house and loft reinsulated in 2014, metal roof in 2015, deck in 2016, eaves in 2018. Close to shopping, schools including NAIT, transportation, Downtown and great amenities, restaurants, and Little Italy. Full of personality!"
