"displayName","contactName","Phone","reviewRating","numReviews","location","city","state","zip"
"BBH Projects Pty Ltd","Shane Boulter","0448 899 019","4.9","14","Balmoral, Queensland","Balmoral","QLD","4171"
"Broadwater Builds","Louis Gonzalez","(08) 6468 6384","5.0","21","City Beach, Western Australia","City Beach","WA","6015"
"Alpha Renovations","Abraham","1800 025 742","5.0","22","Sydney, New South Wales","Sydney","NSW","2170"
"Renotech Building Pty Ltd","Darius king","(02) 4312 8594","5.0","17","Bronte, New South Wales","Bronte","NSW","2024"
"Meadan Homes","","(02) 8766 0486","4.8","20","Castle Hill, New South Wales","Castle Hill","NSW","2154"
"Hall Group & Co.","","(02) 9158 6364","4.9","17","Waverley, New South Wales","Waverley","NSW","2024"
"Trentwood Homes","Jarrod","(02) 6056 5166","5.0","24","Wodonga, Victoria","Wodonga","VIC","3690"
"Ultima Building Group","Veronica Sparagis","(02) 8599 2291","5.0","20","Wallacia, New South Wales","Wallacia","NSW","2745"
"All Time Constructions","Grant Jefford","(02) 9051 0521","4.9","18","Annandale, New South Wales","Annandale","NSW","2038"
"Henarise Pty Ltd","Zenya Adderley","0402 064 204","4.9","16","Wamberal, New South Wales","Wamberal","NSW","NSW, 2260"
"Graff Design & Construction","Anya & Les Ziolek","(08) 6361 3298","5.0","17","Grange, South Australia","Grange","SA","5022"
"Quality First Constructions","Tim Lee","(07) 3186 0248","5.0","18","YAROOMBA, Queensland","YAROOMBA","QLD","4573"
"Built By Drew","Drew & Karena Hinman","0400 663 764","5.0","10","Canberra, Australian Capital Territory","Canberra","ACT","2614"
"dts builders","Drage Trajceski","0412 157 617","5.0","14","Brisbane, Queensland","Brisbane","QLD","4064"
"Thirdson Construction Pty Ltd","David James","(07) 3517 0165","5.0","19","Ipswich, Queensland","Ipswich","QLD","4304"
"Langford Jones Homes","Paul Langford Jones","(03) 8797 5405","4.4","15","Bentleigh East, Victoria","Bentleigh East","VIC","3165"
"Green Chip Constructions Pty Ltd","Nick","(02) 6188 7180","5.0","7","Sydney, New South Wales","Sydney","NSW","2107"
"Sydney Beach Homes","John Oxley","0414 562 730","4.8","18","Sydney","Sydney","","2099"
"Mindful Boutique Builders & Renovators Perth","Mindful Homes","0438 972 682","5.0","19","Ellenbrook, Western Australia","Ellenbrook","WA","6069"
"BCI Hawker","Stephen Hawker","0410 217 495","5.0","10","Kingscliff, New South Wales","Kingscliff","NSW","2487"
"JM Homes","Josh O'Sullivan","0422 442 271","5.0","17","Lawnton, Queensland","Lawnton","QLD","4501"
"Blue Point Building Services Pty Ltd","","(03) 6146 1518","5.0","13","Carrum Downs, Victoria","Carrum Downs","VIC","3201"
"Accurate Building and Construction","","0403 908 837","4.9","17","Coorparoo, Queensland","Coorparoo","QLD","4151"
"CAPITAL BUILDING","","0414 811 666","5.0","15","New South Wales","","NSW",""
"Norik Constructions Pty Ltd","Kiron Barnden","0422 271 750","5.0","15","Heathmont, Victoria","Heathmont","VIC","3135"
"Laggner Constructions Pty Ltd","Steve Laggner","0405 125 558","5.0","17","Canberra, Australian Capital Territory","Canberra","ACT","2615"
"Vital Build","Tim Lo Presti","0417 052 983","5.0","16","Melbourne, Victoria","Melbourne","VIC","3000"
"Sahlico Home Improvements","Ibrahim Sahlieh","0438 207 011","5.0","16","North Shore, New South Wales","North Shore","NSW","2000"
"Claridge Construction","Peter Claridge","(08) 8449 4490","5.0","13","Lockleys, South Australia","Lockleys","SA","5032"
"Westmade Homes","Michael Moffatt","(08) 7078 8244","5.0","11","Perth, Western Australia","Perth","WA","6107"
"Langford Jones Homes","Paul Langford Jones","(03) 8797 5405","4.4","15","Bentleigh East, Victoria","Bentleigh East","VIC","3165"
"Pacific Blue","Cameron Brown","0411 665 659","5.0","15","Maroochydore, Queensland","Maroochydore","QLD","4558"
"Main Layne Constructions","Andy","0407 737 077","5.0","15","Brisbane, Queensland","Brisbane","QLD","4010"
"Hume Building","","(02) 4630 8967","4.9","8","Wilton, New South Wales","Wilton","NSW","2571"
"Roebuck Concepts","Tom Roebuck","0477 333 386","5.0","11","Yaroomba, Queensland","Yaroomba","QLD","4573"
"MJH BUILDING SERVICES P/L","Murray Harris","(02) 4058 2553","5.0","12","Marrickville, New South Wales","Marrickville","NSW","2204"
"Hartl Constructions","Jordan Hartl","(02) 8766 0484","5.0","14","Sydney, New South Wales","Sydney","NSW","2154"
"Accurate Building and Construction","","0403 908 837","4.9","17","Coorparoo, Queensland","Coorparoo","QLD","4151"
"David Campbell Building Pty Ltd","David Campbell","(02) 8294 6216","5.0","12","Chatswood, New South Wales","Chatswood","NSW","2067"
"Beecraft Pty Ltd","Beecraft Pty Ltd","(02) 9450 1530","5.0","12","Sydney, New South Wales","Sydney","NSW","2084"
"Coastech Constructions","","","4.9","11","Boardbeach, Queensland","Boardbeach","QLD","4218"
"Campbell Builders","Michael Campbell","0421 966 139","5.0","13","Brisbane, Queensland","Brisbane","QLD","4116"
"Hezzelic Homes","Dwain Labuschewski","0412 895 580","5.0","8","Salisbury, Queensland","Salisbury","QLD","4107"
"Mondo Exclusive Homes","Ray Kershaw","(08) 9244 3160","5.0","9","Balcatta, Western Australia","Balcatta","WA",""
"Pembroke London Homes","Tony Bremner","0411 307 017","5.0","15","Perth, Western Australia","Perth","WA","6112"
"Elite Additions","Scott Meyers","0433 765 885","5.0","9","West Pennant Hills, New South Wales","West Pennant Hills","NSW","2125"
"LG BUILDING SERVICES","Leon Gruchy","0419 109 623","5.0","12","Wonga Park, Victoria","Wonga Park","VIC","3115"
"Anderson Homes Pty Ltd","Laurie Anderson","(03) 9068 6022","4.8","6","Richmond, Victoria","Richmond","VIC","3121"
"Boom Build","Ben Carty","(02) 8541 8125","5.0","6","Cromer, New South Wales","Cromer","NSW","2099"
"Create Homes","Pierre Comty","0410 292 469","4.9","12","Perth, Western Australia","Perth","WA","6160"
"P.Built Constructions","","(02) 8074 3531","5.0","10","Wadalba, New South Wales","Wadalba","NSW","2259"
"Esteem Constructions","","1300 005 600","5.0","6","Kellyville Ridge, New South Wales","Kellyville Ridge","NSW","2151"
"Sea Breeze Projects PTY LTD","Dave Wilson","0405 393 532","5.0","9","Menai","Menai","","2234"
"Hezzelic Homes","Dwain Labuschewski","0412 895 580","5.0","8","Salisbury, Queensland","Salisbury","QLD","4107"
"Advanced Craft Construction","Karl Higley","0420 313 844","4.9","12","Sydney, New South Wales","Sydney","NSW","2033"
"P.T.A.H","David Zupanc","(07) 2104 1915","5.0","11","Redbank Plains, Queensland, Queensland","Redbank Plains, Queensland","QLD","4301"
"Maxa Constructions","Felicity Maxa","0408 603 085","4.9","9","Cairns, Queensland","Cairns","QLD","4870"
"Elite Additions","Scott Meyers","0433 765 885","5.0","9","West Pennant Hills, New South Wales","West Pennant Hills","NSW","2125"
"Carty Homes","Matt Carty","99861518","5.0","5","Sydney, New South Wales","Sydney","NSW","2100"
"Streefland Homes and Developments","Tony Streefland","(03) 6344 9922","5.0","10","Invermay, Tasmania","Invermay","TAS","7248"
"Emwinn Constructions","Wade Woodcroft","0418 983 066","4.7","11","Kedron, Queensland","Kedron","QLD","4031"
"EcoUrbane Building Group","Mark Tassell","0414 912 367","5.0","9","Thebarton, South Australia","Thebarton","SA","5031"
"Saunders Building Company Pty Ltd","Kirby Saunders","0422 288 023","5.0","7","Alderley, Queensland","Alderley","QLD","4051"
"Suncity Homes","Andrew Seal","54471699","5.0","7","Noosaville, Queensland","Noosaville","QLD",""
"B Group Luxury Builders","Basem Bastawrous","0450 504 505","5.0","9","Peakhurst, New South Wales","Peakhurst","NSW","2210"
"Murphy Homes","","1300 010 191","5.0","6","Mooloolaba, Queensland","Mooloolaba","QLD","4557"
"iRenov8 Projects | Building It Better","Gregg Jowett","0419 996 334","4.9","9","Sydney, New South Wales","Sydney","NSW","2024"
"Provision Building Group","Bruce","(03) 4050 7662","5.0","6","Niddrie, Victoria","Niddrie","VIC","3042"
"Beecraft Pty Ltd","Beecraft Pty Ltd","(02) 9450 1530","5.0","12","Sydney, New South Wales","Sydney","NSW","2084"
"Mondo Exclusive Homes","Ray Kershaw","(08) 9244 3160","5.0","9","Balcatta, Western Australia","Balcatta","WA",""
"Atkinson Pontifex","David Pontifex","(03) 9585 1165","5.0","13","Melbourne, Victoria","Melbourne","VIC","3192"
"Sahlico Home Improvements","Ibrahim Sahlieh","0438 207 011","5.0","16","North Shore, New South Wales","North Shore","NSW","2000"
"Pembroke London Homes","Tony Bremner","0411 307 017","5.0","15","Perth, Western Australia","Perth","WA","6112"
"NAGEL building & carpentry","Jason Nagel","0421 753 287","4.9","14","Adelaide, South Australia","Adelaide","SA","5051"
"Amerex Renovations and Additions","Steve Burke","(08) 9227 1822","5.0","12","Perth, Western Australia","Perth","WA","6017"
"Wally Williams Constructions","Chris Williams","(07) 3349 7946","5.0","10","Mount Gravatt, Queensland","Mount Gravatt","QLD","4122"
"Jedabuild","Jeremy Warren","(02) 8294 2096","5.0","13","Maitland, New South Wales","Maitland","NSW","2320"
"Donnellan Constructions","Heath Donnellan","(03) 9772 7708","5.0","13","Chelsea, Victoria","Chelsea","VIC","3196"
"Boom Build","Ben Carty","(02) 8541 8125","5.0","6","Cromer, New South Wales","Cromer","NSW","2099"
"Create Homes","Pierre Comty","0410 292 469","4.9","12","Perth, Western Australia","Perth","WA","6160"
"P.Built Constructions","","(02) 8074 3531","5.0","10","Wadalba, New South Wales","Wadalba","NSW","2259"
"H Design Manage Build","Jay 0434 600 074 / David 0428 334 885","0434 600 074","5.0","10","Dulwich Hill, New South Wales","Dulwich Hill","NSW","2203"
"Hometek Renovations & Extensions","Support Team","1300 098 696","5.0","7","Vaucluse, New South Wales","Vaucluse","NSW","2030"
"Charleston","","96200000","5.0","7","Horsley Park, New South Wales","Horsley Park","NSW","2175"
"In-House Projects","Dan","(07) 4580 4653","5.0","8","Coorparoo, Queensland","Coorparoo","QLD","4151"
"Del Casa Homes","Darren Driussi","(02) 6624 8427","4.9","8","Goonellabah, New South Wales","Goonellabah","NSW","2480"
"Bleyer Constructions","Charles Bleyer","(02) 9158 6164","4.9","8","Beacon Hill, New South Wales","Beacon Hill","NSW","2100"
"Sanctuary 28","Don Cotterill","(07) 5598 8844","5.0","7","Currumbin Valley, Queensland","Currumbin Valley","QLD","4223"
"Pars Building Construction","Hamed Rod","(03) 8797 5612","5.0","9","Hampton, Victoria","Hampton","VIC","3188"
"Champness Builders","Andrew Champness","62604658","5.0","6","Canberra, Australian Capital Territory","Canberra","ACT","2600"
"Mint Homes & Renovations","Julian Russell","0401 885 180","4.9","8","Ashgrove, Queensland","Ashgrove","QLD","4060"
"Urban Property Developers","Branko Ocko","(03) 8797 2286","5.0","9","Ballarat, Victoria","Ballarat","VIC","3352"
"Roseleigh Homes","Lisa Dodenciu","(03) 5622 6777","5.0","8","Warragul, Victoria","Warragul","VIC","3142"
"Ampson Developments, Design & Construction.","Patrick & Mario Sultana","(03) 9111 5329","5.0","8","Flemington, Victoria","Flemington","VIC","3031"
"Hatch Constructions Group","","0427 545 594","5.0","4","Annandale, New South Wales","Annandale","NSW","2038"
"Building Homes Qld (Toowoomba)","Tim Kowitz","0477 154 398","4.9","9","Toowoomba, Queensland","Toowoomba","QLD","4350"
"Mid North Coast Drafting & Construction","","(02) 8074 5719","5.0","7","Taree, New South Wales","Taree","NSW","2430"
"Alamay Constructions Pty Ltd","Hassan El Hage","(02) 3813 8946","5.0","3","Mascot, New South Wales","Mascot","NSW","2020"
"Finney Construction","Damien Finney","(03) 9596 7556","5.0","9","Gardenvale, Victoria","Gardenvale","VIC","3185"
"Liebke Projects","Ben Liebke","0414 844 322","4.9","9","Sydney, New South Wales","Sydney","NSW","2000"
"Erban Development","Eric Diaz","(08) 9443 2149","5.0","9","Perth, Western Australia","Perth","WA","6000"
"Nabcon Constructions","Harry Naboulsi","0411 215 211","4.9","11","Sydney, New South Wales","Sydney","NSW","2000"
"Atrium Homes","Daniel Marcolina","(08) 6310 8888","5.0","4","Ardross, Western Australia","Ardross","WA","6153"
"Kestrel Building","Andre Ransom","0402 492 210","5.0","11","Newtown, New South Wales","Newtown","NSW","2042"
"G-LUX Builders","Jesse Glascott","0409 932 808","5.0","9","Melbourne, Victoria","Melbourne","VIC","3116"
"7 Towns","David Cunico","1800 786 967","5.0","10","South Yarra, Victoria","South Yarra","VIC","3141"
"Mayor Building Group Pty Ltd","Anthony Mayor","0415 930 195","5.0","11","Perth, Western Australia","Perth","WA","6155"
"Norm Wales Constructions Pty Ltd","Norm Wales","0427 722 604","5.0","11","Bundaberg, Queensland","Bundaberg","QLD","4670"
"Copperbrick Garages Pty Ltd","Marcus","(03) 9844 5743","5.0","11","North Warrandyte, Victoria","North Warrandyte","VIC","3113"
"J Co Constructions","J Co Constructions","(07) 4843 5494","5.0","6","Aura, Queensland","Aura","QLD","4551"
"BSM Building Pty Ltd","BSM Building","0407 379 199","4.9","9","Brisbane, Queensland","Brisbane","QLD","4000"
"FenRen","Steven Fender","(02) 8776 3428","4.9","8","Castle Hill, New South Wales","Castle Hill","NSW","2154"
"Construction Concierge","","(02) 6190 1708","5.0","6","Mosman, New South Wales","Mosman","NSW","2088"
"Angus Cowan Constructions Pty. Ltd","Angus Cowan","0417 751 521","5.0","7","Kenmore, Queensland","Kenmore","QLD","4069"
"Bleyer Constructions","Charles Bleyer","(02) 9158 6164","4.9","8","Beacon Hill, New South Wales","Beacon Hill","NSW","2100"
"A C Mellier Building","Andrew","0412 286 467","5.0","7","St George Basin, New South Wales","St George Basin","NSW","2540"
"iCheckit","","(08) 6271 0088","4.9","9","Perth, Western Australia","Perth","WA","6154"
"JLG Projects","James Algie","(07) 3485 0873","4.9","9","Brisbane, Queensland","Brisbane","QLD","4207"
"Period Extensions & Designs","","(03) 9882 5255","4.9","7","Camberwell, Victoria","Camberwell","VIC","3124"
"Everbuilt Pty Ltd","","1300 471 796","4.8","8","Sydney, New South Wales","Sydney","NSW","2217"
"Roseleigh Homes","Lisa Dodenciu","(03) 5622 6777","5.0","8","Warragul, Victoria","Warragul","VIC","3142"
"Dean Powell Constructions","Dean Powell","0412 182 819","5.0","9","Burdell, Queensland","Burdell","QLD","4815"
"Luna Constructions PTY LTD","John Anderson","0415 474 132","5.0","8","Noosa, Queensland","Noosa","QLD","4565"
"Sunstate Homes","Amir Taefi","(07) 3800 5644","4.9","8","Milton, Queensland","Milton","QLD","4064"
"Mass Constructions","Tim McRae","1300 585 287","5.0","6","Keysborough, Victoria","Keysborough","VIC","3173"
"EvoBuilt","Robby","0409 505 948","5.0","5","Belgrave, Victoria","Belgrave","VIC","3160"
"Stephensen Constructions Pty Ltd","Shane Stephensen","0422 549 390","5.0","5","Ipswich, Queensland","Ipswich","QLD","4305"
"Shoreview Building Group","","0434 978 913","5.0","5","MOUNT COLAH, New South Wales","MOUNT COLAH","NSW","2079"
"Chris Flemming Building Services","Chad Flemming","0409 605 570","5.0","7","Brookvale, New South Wales","Brookvale","NSW","2100"
"Frampton Builders","Rodney Frampton","0403 232 000","5.0","6","Brisbane, Queensland","Brisbane","QLD","4152"
"Newling Homes","Glenn","0409 986 945","5.0","6","Mt Moriac, Victoria","Mt Moriac","VIC","3240"
"North Residential Constructions","David Lombardo","(02) 9938 2229","5.0","8","Brookvale, New South Wales","Brookvale","NSW","2100"
"Exempla Homes","Ronnie Hanckel","0418 442 209","4.6","10","Dural, New South Wales","Dural","NSW","2158"
"Axcis Build","Michael Holzheimer & Kel Harvey","0438 717 424","5.0","8","Brisbane, Queensland","Brisbane","QLD","4151"
"J Holloway Builders","Jason Holloway","(03) 4050 7929","5.0","5","South Kingsville, Victoria","South Kingsville","VIC","3015"
"Skope Constructions","John Carolan","(02) 9659 8461","5.0","4","Sydney, New South Wales","Sydney","NSW","2000"
"Clancy Constructions","Shaun Clancy","(03) 9645 4938","5.0","7","Melbourne, Victoria","Melbourne","VIC","3207"
"Wade Builders","Jacob Wade","(03) 4050 7252","5.0","6","North Geelong, Victoria","North Geelong","VIC","3215"
"Acubuildnsw","Ibrahim Hanania","0451 515 502","5.0","8","Sydney, New South Wales","Sydney","NSW","2208"
"Allura Homes","Andrew Strachan","(02) 9420 4133","5.0","6","Lane Cove West, New South Wales","Lane Cove West","NSW","2066"
"BTM Constructions Pty Ltd","","0424 499 985","5.0","5","Mona Vale, New South Wales","Mona Vale","NSW","2103"
"Refresh Renovations Sydney - Michael Harich","Michael Harich","(02) 4063 1388","5.0","3","Frenchs Forest, New South Wales","Frenchs Forest","NSW","2086"
"Stephensen Constructions Pty Ltd","Shane Stephensen","0422 549 390","5.0","5","Ipswich, Queensland","Ipswich","QLD","4305"
"Angus Cowan Constructions Pty. Ltd","Angus Cowan","0417 751 521","5.0","7","Kenmore, Queensland","Kenmore","QLD","4069"
"A C Mellier Building","Andrew","0412 286 467","5.0","7","St George Basin, New South Wales","St George Basin","NSW","2540"
"Davey Constructions","Jared Davey","0410 821 189","5.0","6","Gold Coast, Queensland","Gold Coast","QLD","4220"
"Period Extensions & Designs","","(03) 9882 5255","4.9","7","Camberwell, Victoria","Camberwell","VIC","3124"
"Patterson Built Pty Ltd","Grant Patterson","(02) 8046 1311","5.0","4","Windsor, New South Wales","Windsor","NSW","2756"
"LM Projects","Lloyd Godfrey","0412 303 278","4.9","7","Caringbah, New South Wales","Caringbah","NSW","2229"
"Clive Kennedy Homes","Donna Kennedy","43892060","5.0","6","Tumbi Umbi, New South Wales","Tumbi Umbi","NSW","2261"
"Construct Group","","0408 053 935","4.9","7","Melbourne, Victoria","Melbourne","VIC","3001"
"BTM Constructions Pty Ltd","","0424 499 985","5.0","5","Mona Vale, New South Wales","Mona Vale","NSW","2103"
"Balmoral Homes","Craig Egginton","(02) 9651 6290","5.0","4","Sydney, New South Wales","Sydney","NSW","2158"
"Wansaplex Building Services","Charlie Wansa","(02) 8294 2083","5.0","4","Sydney, New South Wales","Sydney","NSW","2221"
"EvoBuilt","Robby","0409 505 948","5.0","5","Belgrave, Victoria","Belgrave","VIC","3160"
"Stephensen Constructions Pty Ltd","Shane Stephensen","0422 549 390","5.0","5","Ipswich, Queensland","Ipswich","QLD","4305"
"Shoreview Building Group","","0434 978 913","5.0","5","MOUNT COLAH, New South Wales","MOUNT COLAH","NSW","2079"
"Gerber Hoven Projects","","0451 998 008","5.0","4","Redfern, New South Wales","Redfern","NSW","2016"
"Dimpat","Bevan Dimeck","0431 065 949","5.0","5","Kew, Victoria","Kew","VIC","3101"
"Urban Trend Construction","Kenneth Ogilvie","(07) 4957 5000","5.0","4","Mackay, Queensland","Mackay","QLD","4740"
"Garth Chapman Queenslanders","Stephen Havas","(07) 3264 3304","5.0","6","Albany Creek, Queensland","Albany Creek","QLD","4035"
"Ryan Designer Homes","Pat and Petrina Ryan","0413 621 879","5.0","6","Mooloolaba, Queensland","Mooloolaba","QLD","4557"
"Crearter Constructions","Braden Carter","0402 249 601","5.0","6","Newport, New South Wales","Newport","NSW","2106"
"Constructive Building Pty Ltd","John Matthews","(02) 6190 0766","5.0","6","Mawson, Australian Capital Territory","Mawson","ACT","2607"
"Blue Water Building Co (SW) Pty Ltd","Anton Smith","97567993","5.0","6","Dunsborough, Western Australia","Dunsborough","WA","6281"
"RKW Constructions","Rod Watts","0418 423 649","4.9","7","sydney, New South Wales","sydney","NSW","2170"
"Prostruct Building Services (SA)","Rob Tricker","","5.0","6","Adelaide, South Australia","Adelaide","SA","5061"
"Patterson Built Pty Ltd","Grant Patterson","(02) 8046 1311","5.0","4","Windsor, New South Wales","Windsor","NSW","2756"
"Kustom Living","Greg Balmforth","0434 186 521","5.0","3","Melbourne, Victoria","Melbourne","VIC","3095"
"Gunn Building Projects","","0447 341 511","5.0","6","Mornington, Victoria","Mornington","VIC","3931"
"Custom Choice Builders","Mitchell Thomas","0412 936 713","5.0","6","Warrandyte, Victoria","Warrandyte","VIC","3113"
"Scully Constructions","","0421 885 771","5.0","6","Cromer, New South Wales","Cromer","NSW","2099"
"Gerber Hoven Projects","","0451 998 008","5.0","4","Redfern, New South Wales","Redfern","NSW","2016"
"Hensley Park Homes","","43330504","5.0","7","Warrenheip, Victoria","Warrenheip","VIC","3352"
"G & R Homes","","0419 780 222","5.0","7","Adelaide, South Australia","Adelaide","SA","5070"
"Green Anvil Co.","Samuel O'Flaherty","(02) 9516 5732","5.0","6","ST PETERS, New South Wales","ST PETERS","NSW","2044"
"ESP Developments","","(07) 3847 1855","4.9","7","Brisbane, Queensland","Brisbane","QLD","4151"
"M.C. Knowles Builder MASTER BUILT HOMES","Michael Knowles","(02) 8294 5435","5.0","6","Laurieton, New South Wales","Laurieton","NSW","2443"
"Purple Building Group","Adam Blumfield","0409 007 929","5.0","7","Yarra Glen, Victoria","Yarra Glen","VIC","3775"
"Davey Constructions","Jared Davey","0410 821 189","5.0","6","Gold Coast, Queensland","Gold Coast","QLD","4220"
"LM Projects","Lloyd Godfrey","0412 303 278","4.9","7","Caringbah, New South Wales","Caringbah","NSW","2229"
"Clive Kennedy Homes","Donna Kennedy","43892060","5.0","6","Tumbi Umbi, New South Wales","Tumbi Umbi","NSW","2261"
"Giro Construction","Antonio Macri","(02) 9905 4476","4.9","7","Frenchs Forest, New South Wales","Frenchs Forest","NSW","2086"
"Fidaro Pty Ltd","Bijan Zardbani","(03) 8594 4097","4.9","7","Mernda, Victoria","Mernda","VIC","3754"
"Breezeway House","Darren Scheuerle","(07) 3060 8344","5.0","3","Brisbane, Queensland","Brisbane","QLD","4075"
"Balmoral Homes","Craig Egginton","(02) 9651 6290","5.0","4","Sydney, New South Wales","Sydney","NSW","2158"
"Wansaplex Building Services","Charlie Wansa","(02) 8294 2083","5.0","4","Sydney, New South Wales","Sydney","NSW","2221"
"Seaquest Constructions","Ben Vanderpoel","0428 722 300","5.0","4","Bateau Bay, New South Wales","Bateau Bay","NSW","2261"
"Brent Builders","Bettina Brent","0408 517 312","5.0","5","Malvern East, Victoria","Malvern East","VIC","3145"
"Feature Point Construction","Ali Yucel","0400 233 219","5.0","6","Melbourne, Victoria","Melbourne","VIC","3023"
"Ryan Designer Homes","Pat and Petrina Ryan","0413 621 879","5.0","6","Mooloolaba, Queensland","Mooloolaba","QLD","4557"
"MK Building Solutions","Marco Klous","(08) 6188 5966","5.0","5","Balcatta, Western Australia","Balcatta","WA","6021"
"Modern Rustic","Piet and Vickie Baxter","0426 893 871","5.0","5","Cairns, Queensland","Cairns","QLD","4879"
"KEEDAH","Mike","(02) 9924 6466","5.0","5","Chatswood, New South Wales","Chatswood","NSW","2067"
"Spinelli Building","Brad Spinelli","0402 245 581","5.0","6","Albury, New South Wales","Albury","NSW","2640"
"Enhance Building","Erwin Fornasier","0409 749 127","5.0","5","Kogarah, New South Wales","Kogarah","NSW","2217"
"Tyler Builders","Ben Tyler","0417 413 267","5.0","6","Diddillibah, Queensland","Diddillibah","QLD","4559"
"WIP Residential","Richard Whipp","(07) 4055 1722","4.7","6","Stratford, Queensland","Stratford","QLD","4870"
"BCD Building Pty Ltd","Brendan","(02) 9158 6417","5.0","3","Normanhurst, New South Wales","Normanhurst","NSW","2076"
"Blue Build","Ryan Kelly","0421 475 592","5.0","6","Taren Point, New South Wales","Taren Point","NSW","2229"
"Elwood Building Co.","Aaron Ronaldson","0409 356 685","5.0","4","Brighton, Victoria","Brighton","VIC","3186"
"Calibre Building","Dave @ Nathan Waite","(03) 4050 7134","5.0","4","Northcote, Victoria","Northcote","VIC","3070"
"Cymraeg Construction","Alex Watkins","0449 804 633","5.0","4","Mornington Peninsula, Victoria","Mornington Peninsula","VIC","3212"
"Chris Elliott Builder","Chris Elliott","0414 511 367","5.0","5","Kenmore, Queensland","Kenmore","QLD","4305"
"W.W. Langer Constructions","Werner Langer","(08) 8272 6673","4.9","7","Adelaide, South Australia","Adelaide","SA","5062"
"TO THE MIL excellence in construction","Liam FLOOD","0425 259 002","5.0","5","Randwick, New South Wales","Randwick","NSW","2031"
"Blue Gum Granny Flats","William De Martrin Donos","0499 161 499","5.0","6","Malabar, New South Wales","Malabar","NSW","2036"
"Grantleigh Homes Pty Ltd","Paul Vale","(02) 4312 7428","5.0","6","Dural, New South Wales","Dural","NSW","2158"
"Spinelli Building","Brad Spinelli","0402 245 581","5.0","6","Albury, New South Wales","Albury","NSW","2640"
"Kalios Constructions","Taranga","40939946","5.0","6","Cairns, Queensland","Cairns","QLD","4881"
"Enhance Building","Erwin Fornasier","0409 749 127","5.0","5","Kogarah, New South Wales","Kogarah","NSW","2217"
"Swan and Sons Homes","David Swan","0409 054 983","5.0","6","Wynnum, Queensland","Wynnum","QLD","4178"
"Bayside Built","Bayside Built Developments","0431 434 436","5.0","5","Drummoyne, New South Wales","Drummoyne","NSW","2047"
"Scully Constructions","","0421 885 771","5.0","6","Cromer, New South Wales","Cromer","NSW","2099"
"Calibre Building","Dave @ Nathan Waite","(03) 4050 7134","5.0","4","Northcote, Victoria","Northcote","VIC","3070"
"Cordeaux Constructions","Jim Baker","0417 280 142","5.0","3","Berkeley, New South Wales","Berkeley","NSW","2506"
