rank,restaurant_name,emailaddress,phone_number,address,zipcode,website,yellowpages_rating,yellowpages_review_count,tripadvisor_rating,tripadvisor_review_count,cuisine1,cuisine2,cuisine3,cuisine
11,High Street Baptist Church,contact@highstreetbaptistchurch.com,(614) 888-5121,"7399 N High St,Columbus,OH",43235,https://www.highstreetbaptistchurch.com,,,,,Baptist Churches,Churches & Places of Worship,Elementary Schools,"Baptist Churches,Churches & Places of Worship,Elementary Schools,General Baptist Churches,Independent Baptist Churches,Middle Schools,Private Schools (K-12)"
12,Jerome United Methodist Church,info@jeromechurch.org,(614) 873-8851,"10531 Jerome Rd,Plain City,OH",43064,http://jeromechurch.org,5,2,,,Methodist Churches,Christian Churches,Churches & Places of Worship,"Methodist Churches,Christian Churches,Churches & Places of Worship"
13,Quest Community Church,office@gotoquest.org,(614) 939-2100,"4877 Central College Rd,Westerville,OH",43081,http://www.gotoquest.org,5,2,,,Non-Denominational Churches,Churches & Places of Worship,Interdenominational Churches,"Non-Denominational Churches,Churches & Places of Worship,Interdenominational Churches,Religious Organizations"
14,St Luke Episcopal Church,missy@stjohnssharon.org,(330) 652-2952,"348 Robbins Ave,Niles,OH",44446,http://stlukesniles.com,5,2,,,Episcopal Churches,Churches & Places of Worship,,"Episcopal Churches,Churches & Places of Worship"
15,The Church of the Covenant,pastor@jeremiah31.org,(513) 851-5100,"11688 Mill Rd,Cincinnati,OH",45240,http://covenantweb.org,5,2,,,Presbyterian Churches,Churches & Places of Worship,,"Presbyterian Churches,Churches & Places of Worship"
16,Tallmadge United Methodist Church,tumc@tallmadgeumc.org,(330) 633-3734,"207 N Munroe Rd,Tallmadge,OH",44278,http://www.tallmadgeumc.org,5,2,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
17,St Augustine's,denise.karam@staugustine-west14.org,(216) 781-8576,"2486 W 14th St,Cleveland,OH",44113,http://www.staugustine-west14.org,5,2,,,Catholic Churches,Churches & Places of Worship,Clergy,"Catholic Churches,Churches & Places of Worship,Clergy,Religious Organizations"
18,St Paul's Lutheran Church,stpaulprospectoffice@midohio.twcbc.com,(740) 494-2885,"200 E Water St,Prospect,OH",43342,http://stpaulprospect.webs.com,5,2,,,Lutheran Churches,Churches & Places of Worship,Evangelical Lutheran Church in America,"Lutheran Churches,Churches & Places of Worship,Evangelical Lutheran Church in America"
19,St Ann Church-Groesbeck,info@saintannparish.org,(513) 521-8440,"2900 W Galbraith Rd,Cincinnati,OH",45239,http://saintannparish.org,5,2,,,Churches & Places of Worship,Catholic Churches,,"Churches & Places of Worship,Catholic Churches"
20,Harvest Light Family Ministries,,(937) 262-7547,"800 Troy St,Dayton,OH",45404,http://harvestlightdayton.org,5,2,,,Churches & Places of Worship,Christian Churches,Evangelical Churches,"Churches & Places of Worship,Christian Churches,Evangelical Churches,Religious Organizations,Various Denomination Churches"
21,Lighthouse Memorial Church,,(740) 467-1500,"2600 Walnut Rd NE,Millersport,OH",43046,http://www.lighthousememorialchurch.com,5,2,,,Christian Churches,Churches & Places of Worship,Religious Organizations,"Christian Churches,Churches & Places of Worship,Religious Organizations"
22,St Joseph Catholic Church,johnkguth@gmail.com,(419) 255-5556,"628 Locust St,Toledo,OH",43604,http://www.stjosephstoledo.com,5,2,,,Catholic Churches,Churches & Places of Worship,Clergy,"Catholic Churches,Churches & Places of Worship,Clergy"
23,Victory Baptist Church,,(740) 992-7111,"525 N 2nd Ave,Middleport,OH",45760,http://www.victorymiddleport.org,5,2,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
24,Charisma Life Ministries,charisma@charisma-life.org,(614) 552-1010,"161 N Hamilton Rd,Columbus,OH",43213,http://www.charismalife.org,5,2,,,Churches & Places of Worship,Baptist Churches,Religious Organizations,"Churches & Places of Worship,Baptist Churches,Religious Organizations,Southern Baptist Churches"
25,Mount Pilgrim Baptist Church,rwcraigsr@hotmail.com,(419) 246-7060,"1401 Hoag St,Toledo,OH",43607,,5,2,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
26,Amazing Grace Baptist Church,pastor@amazinggracebaptist.org,(614) 274-6333,"1288 W Broad St,Columbus,OH",43222,http://www.amazing-grace-baptist.org,5,2,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
27,Mount Hope Baptist Church,,(513) 367-0450,"9200 Strimple Rd,Harrison,OH",45030,http://www.mthopebaptist.com,5,2,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
28,The Apostolic Pentecostal Christian Lighthouse,Vine@neohio.twcbc.com,(330) 339-5999,"260 21st St SE,New Philadelphia,OH",44663,http://www.therevivalcenter.net/index.html,5,2,,,Pentecostal Churches,Apostolic Churches,Churches & Places of Worship,"Pentecostal Churches,Apostolic Churches,Churches & Places of Worship"
29,Reigning Word Fellowship,,(419) 668-7183,"2532 Us Highway 250 S,Norwalk,OH",44857,,5,2,,,Word of Faith Churches,Churches & Places of Worship,,"Word of Faith Churches,Churches & Places of Worship"
30,Christ Church,webmaster@christchurchohio.org,(440) 236-8282,"23080 Royalton Rd,Columbia Station,OH",44028,http://www.christchurchohio.org,5,2,,,Non-Denominational Churches,Churches & Places of Worship,,"Non-Denominational Churches,Churches & Places of Worship"
121,Graham Road Baptist Church,grbc@grbaptistchurch.org,(330) 928-7742,"705 Graham Rd,Cuyahoga Falls,OH",44221,http://www.grbaptistchurch.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
122,First Baptist Church of Jackson,office@fbcj.com,(330) 854-9710,"8925 Strausser St NW,Massillon,OH",44646,http://www.fbcj.com,5,1,,,Baptist Churches,Churches & Places of Worship,Independent Baptist Churches,"Baptist Churches,Churches & Places of Worship,Independent Baptist Churches"
123,Blessed Trinity Parish,,(216) 671-5890,"14040 Puritas Ave,Cleveland,OH",44135,http://www.blessedtrinitycleveland.org,5,1,,,Catholic Churches,Churches & Places of Worship,Clergy,"Catholic Churches,Churches & Places of Worship,Clergy"
124,Beacon Baptist Church,kwpuskas@gmail.com,(440) 244-0552,"3407 W Erie Ave,Lorain,OH",44053,http://www.bbclorain.com,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
125,Shiloh Missionary Baptist Church,,(740) 349-9133,"383 Washington St,Newark,OH",43055,http://www.shilohnewark.com,5,1,,,Baptist Churches,Churches & Places of Worship,Missionary Churches,"Baptist Churches,Churches & Places of Worship,Missionary Churches"
126,Ninth Street United Methodist Church,,(740) 432-7690,"129 N 9th St,Cambridge,OH",43725,http://www.umc.org,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
127,True Vine Baptist Church,,(216) 451-7816,"954 Linn Dr,Cleveland,OH",44108,http://truevinecleveland.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
128,St Johns Catholic Church,,(330) 773-9114,"1034 Brown St,Akron,OH",44301,https://m.facebook.com/pages/st-john-the-baptist-catholic-church/248615891886852,5,1,,,Catholic Churches,Churches & Places of Worship,,"Catholic Churches,Churches & Places of Worship"
129,Lockwood United Methodist Church,lockwoodumc@aol.com,(330) 782-0573,"4570 Lockwood Blvd,Youngstown,OH",44511,http://umc.org,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
130,Our Lady of Grace Parish,,(330) 278-4121,"1088 Ridge Rd,Hinckley,OH",44233,https://www.olghinckley.org,5,1,,,Catholic Churches,Churches & Places of Worship,Clergy,"Catholic Churches,Churches & Places of Worship,Clergy"
131,Immaculate Conception Church,office@iccmadison.com,(440) 428-5164,"2846 Hubbard Rd,Madison,OH",44057,http://iccmadison.com,5,1,,,Catholic Churches,Churches & Places of Worship,,"Catholic Churches,Churches & Places of Worship"
132,Faith Baptist Church,,(440) 338-8945,"14254 Chillicothe Rd,Novelty,OH",44072,http://www.faithbaptistoh.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
133,Vernon United Methodist Church,questions@inumc.org,(330) 772-3031,"6123 State Route 7,Kinsman,OH",44428,http://www.umc.org,5,1,,,United Methodist Churches,Churches & Places of Worship,Methodist Churches,"United Methodist Churches,Churches & Places of Worship,Methodist Churches"
134,Second Calvary Missionary Baptist Church,secretary@secondcalvarymbc.com,(216) 252-1050,"12017 Emery Ave,Cleveland,OH",44135,http://www.secondcalvarymbc.com,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
135,My First School,,(330) 562-8070,"79 E Mennonite Rd,Aurora,OH",44202,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
136,Sacred Heart Religious Ed,3cdebbie@shofjesus.com,(330) 335-0029,"260 Broad St,Wadsworth,OH",44281,http://www.shofjesus.com,5,1,,,Religious General Interest Schools,Catholic Churches,Churches & Places of Worship,"Religious General Interest Schools,Catholic Churches,Churches & Places of Worship,Private Schools (K-12),Schools"
137,Camp CHOF,,(330) 477-6276,"515 Whipple Ave NW,Canton,OH",44708,http://www.cantonbaptist.org,5,1,,,Alcoholism Information & Treatment Centers,Baptist Churches,Churches & Places of Worship,"Alcoholism Information & Treatment Centers,Baptist Churches,Churches & Places of Worship,Youth Organizations & Centers"
138,Southwest Church,office@southwestchurch.org,(937) 885-0720,"150 Remick Blvd,Springboro,OH",45066,http://www.southwestchurch.org,5,1,,,Christian Churches,Churches & Places of Worship,,"Christian Churches,Churches & Places of Worship"
139,Pontius United Methodist Chr,,(740) 474-7078,"7218 Stoutsville Pike,Circleville,OH",43113,http://www.umc.org,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
140,Good Shepherd United Methodist Church,,(937) 849-0697,"1520 Styer Dr,New Carlisle,OH",45344,http://www.umc.org,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
141,Bethlehem Lutheran Church,webmaster@blcmiddletown.org,(513) 423-1191,"212 S Broad St,Middletown,OH",45044,http://blcmiddletown.org,5,1,,,Lutheran Churches,Churches & Places of Worship,,"Lutheran Churches,Churches & Places of Worship"
142,Crosswood United Methodist Church,prayer@crosswoodumc.org,(740) 386-2619,"1551 Richland Rd,Marion,OH",43302,http://www.crosswoodumc.com,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
143,Harvest Pointe Christian Church,harvestpointechristian@gmail.com,(513) 625-5500,"5968 State Route 132,Goshen,OH",45122,http://www.harvestpointecc.org,5,1,,,Christian Churches,Churches & Places of Worship,Religious Organizations,"Christian Churches,Churches & Places of Worship,Religious Organizations"
144,Friends Church Spencerville,,(419) 647-6446,"105 N Mulberry St,Spencerville,OH",45887,https://fwccamericas.org,5,1,,,Christian Churches,Churches & Places of Worship,Religious Organizations,"Christian Churches,Churches & Places of Worship,Religious Organizations"
145,Victory Christian Church,sisterracket@aol.com,(937) 298-9851,"2275 S Patterson Blvd,Dayton,OH",45409,http://www.victorychristian.net,5,1,,,Christian Churches,African Methodist Episcopal Churches,Churches & Places of Worship,"Christian Churches,African Methodist Episcopal Churches,Churches & Places of Worship,Non-Denominational Churches,Religious Counseling,Religious Organizations"
146,Unity United Methodist Church,wjean@benhill-umc.org,(419) 693-5170,"1910 E Broadway St,Northwood,OH",43619,,5,1,,,United Methodist Churches,Churches & Places of Worship,Methodist Churches,"United Methodist Churches,Churches & Places of Worship,Methodist Churches"
147,Holy Trinity Catholic Parish,holytriparish@roadrunner.com,(419) 644-4014,"2649 Us Highway 20,Swanton,OH",43558,http://www.parishesonline.com/scripts/hostedsites/Org.asp?ID=20005,5,1,,,Catholic Churches,Churches & Places of Worship,Clergy,"Catholic Churches,Churches & Places of Worship,Clergy"
148,First United Methodist Church,fumcenews@gmail.com,(937) 746-6244,"303 S Main St,Franklin,OH",45005,http://www.franklinfirstumc.org,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
149,Mt Pisgah Methodist Church,,(513) 553-0001,"2873 State Route 132,New Richmond,OH",45157,,5,1,,,Methodist Churches,Churches & Places of Worship,United Methodist Churches,"Methodist Churches,Churches & Places of Worship,United Methodist Churches"
150,St Colman of Cloyne,tberryhill@stcolmancloyne.org,(740) 335-5000,"219 S North St,Washington Court House,OH",43160,,5,1,,,Catholic Churches,Churches & Places of Worship,,"Catholic Churches,Churches & Places of Worship"
91,New Albany Presbyterian Church,admin@newalbanypresbyterian.org,(614) 933-9680,"5220 Johnstown Rd,New Albany,OH",43054,http://www.newalbanypresbyterian.org,5,1,,,Presbyterian Churches,Churches & Places of Worship,Religious Organizations,"Presbyterian Churches,Churches & Places of Worship,Religious Organizations"
92,Faith Presbyterian Church,faithpastor5555@aol.com,(937) 233-0873,"5555 Chambersburg Rd,Dayton,OH",45424,http://www.faithchurchpcusa.org,5,1,,,Presbyterian Churches,Churches & Places of Worship,,"Presbyterian Churches,Churches & Places of Worship"
93,Church On The North Coast,info@cnclove.org,(440) 960-1100,"4125 Leavitt Rd,Lorain,OH",44053,http://cnclove.org,5,1,,,Interdenominational Churches,Churches & Places of Worship,Non-Denominational Churches,"Interdenominational Churches,Churches & Places of Worship,Non-Denominational Churches"
94,Grace United Church of Christ,whitneyk@ucc.org,(419) 435-6733,"4481 N Us Highway 23,Fostoria,OH",44830,https://www.ucc.org,5,1,,,Church of Christ,Churches & Places of Worship,United Church of Christ,"Church of Christ,Churches & Places of Worship,United Church of Christ"
95,Concord Presbyterian Church,david@davidjohnstone.net,(740) 998-5577,"498 Acton Rd,Frankfort,OH",45628,,5,1,,,Presbyterian Churches,Churches & Places of Worship,,"Presbyterian Churches,Churches & Places of Worship"
96,Canal Church Of Christ,lnisle@pmt.org,(740) 941-0432,"122 E North St,Waverly,OH",45690,,5,1,,,Church of Christ,Churches & Places of Worship,,"Church of Christ,Churches & Places of Worship"
97,Providence Baptist Church,info@pbcwesterville.org,(614) 899-7317,"480 S Hempstead Rd,Westerville,OH",43081,http://www.pbcwesterville.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
98,Grace Baptist Church,office@whloradio.com,(330) 225-4366,"3480 Laurel Rd,Brunswick,OH",44212,http://www.gbcheartline.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
99,Fairview Free Will Baptist Church,,(740) 892-4114,"15271 Vance Rd,Mount Vernon,OH",43050,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
100,Green Valley Southern Baptist Church,gvsbcpastor@gmail.com,(740) 393-3922,"1680 Old Delaware Rd,Mount Vernon,OH",43050,http://www.deskexercisebike.com,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
101,St Paul Shrine,,(216) 431-8854,"4120 Euclid Ave,Cleveland,OH",44103,http://saintpaulshrine.com,5,1,,,Catholic Churches,Churches & Places of Worship,Religious Organizations,"Catholic Churches,Churches & Places of Worship,Religious Organizations"
102,First Baptist Church,,(440) 234-1703,"572 Pearl St,Berea,OH",44017,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
103,Methodist Preschool,kjohns@chagrinfallsumc.org,(440) 247-0950,"20 S Franklin St,Chagrin Falls,OH",44022,http://www.umc.org,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
104,Church Of The Living God,,(216) 561-1191,"12020 Buckeye Rd,Cleveland,OH",44120,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
105,Diamond Hills Baptist Church,hkinnick@diamondhillsautogroup.com,(419) 524-4761,"647 S Diamond St,Mansfield,OH",44907,http://www.diamondhills.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
106,Bible Baptist Church,pastorrob@bible-baptist.com,(440) 969-1102,"4448 N Ridge Rd W,Ashtabula,OH",44004,http://www.biblebaptist.us,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
107,St Anthony's Church,,(330) 762-7277,"83 Mosser Pl,Akron,OH",44310,http://www.stanthony-akron.com,5,1,,,Catholic Churches,Churches & Places of Worship,Clergy,"Catholic Churches,Churches & Places of Worship,Clergy,Religious Organizations"
108,Baptist Bible Church,,(330) 358-2332,"6719 State Route 225,Ravenna,OH",44266,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
109,Providence Baptist Church,info@pbcoc.org,(216) 991-1586,"12712 Kinsman Rd,Cleveland,OH",44120,http://www.providencebaptistchurch.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
110,First United Methodist Church Of Akron,info@firstumcofakron.org,(330) 376-8143,"263 E Mill St,Akron,OH",44308,http://www.firstumcofakron.org,5,1,,,Methodist Churches,Churches & Places of Worship,United Methodist Churches,"Methodist Churches,Churches & Places of Worship,United Methodist Churches"
111,Graham Road Baptist Church,grbc@grbaptistchurch.org,(330) 928-7742,"705 Graham Rd,Cuyahoga Falls,OH",44221,http://www.grbaptistchurch.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
112,First Baptist Church of Jackson,office@fbcj.com,(330) 854-9710,"8925 Strausser St NW,Massillon,OH",44646,http://www.fbcj.com,5,1,,,Baptist Churches,Churches & Places of Worship,Independent Baptist Churches,"Baptist Churches,Churches & Places of Worship,Independent Baptist Churches"
113,Beacon Baptist Church,kwpuskas@gmail.com,(440) 244-0552,"3407 W Erie Ave,Lorain,OH",44053,http://www.bbclorain.com,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
114,Shiloh Missionary Baptist Church,,(740) 349-9133,"383 Washington St,Newark,OH",43055,http://www.shilohnewark.com,5,1,,,Baptist Churches,Churches & Places of Worship,Missionary Churches,"Baptist Churches,Churches & Places of Worship,Missionary Churches"
115,Ninth Street United Methodist Church,,(740) 432-7690,"129 N 9th St,Cambridge,OH",43725,http://www.umc.org,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
116,True Vine Baptist Church,,(216) 451-7816,"954 Linn Dr,Cleveland,OH",44108,http://truevinecleveland.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
117,St Johns Catholic Church,,(330) 773-9114,"1034 Brown St,Akron,OH",44301,https://m.facebook.com/pages/st-john-the-baptist-catholic-church/248615891886852,5,1,,,Catholic Churches,Churches & Places of Worship,,"Catholic Churches,Churches & Places of Worship"
118,Lockwood United Methodist Church,lockwoodumc@aol.com,(330) 782-0573,"4570 Lockwood Blvd,Youngstown,OH",44511,http://umc.org,5,1,,,Methodist Churches,Churches & Places of Worship,,"Methodist Churches,Churches & Places of Worship"
119,Immaculate Conception Church,office@iccmadison.com,(440) 428-5164,"2846 Hubbard Rd,Madison,OH",44057,http://iccmadison.com,5,1,,,Catholic Churches,Churches & Places of Worship,,"Catholic Churches,Churches & Places of Worship"
120,Faith Baptist Church,,(440) 338-8945,"14254 Chillicothe Rd,Novelty,OH",44072,http://www.faithbaptistoh.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
31,Kirtland Temple,dfrancis@rlds.org,(440) 256-1830,"7809 Joseph St,Willoughby,OH",44094,http://www.kirtlandtemple.org,5,2,,,Religious Organizations,Churches & Places of Worship,,"Religious Organizations,Churches & Places of Worship"
32,Holy Assumption Orthodox Church,dormition@ameritech.net,(330) 455-9146,"2027 18th St NE,Canton,OH",44705,https://www.holyassumption.net,5,2,,,Eastern Orthodox Churches,Churches & Places of Worship,,"Eastern Orthodox Churches,Churches & Places of Worship"
33,Gospel Assembly Church,,(330) 896-4329,"2535 Wise Rd,North Canton,OH",44720,http://greengospelassembly.com/visit,5,2,,,Non-Denominational Churches,Churches & Places of Worship,,"Non-Denominational Churches,Churches & Places of Worship"
34,Bethel Lighthouse Pentecostal Church,,(937) 890-4404,"S Bellefontaine Rd,New Carlisle,OH",45344,,5,2,,,Churches & Places of Worship,,,Churches & Places of Worship
35,Faith Christian Center,pastorchuckgamble@yahoo.com,(740) 252-3298,"4200 Boggs Rd,Zanesville,OH",43701,http://www.faithchristiancenter.us,5,2,,,Churches & Places of Worship,,,Churches & Places of Worship
36,Connection Point,,(937) 492-0094,"1510 Campbell Rd,Sidney,OH",45365,http://connectionpt.org,5,2,,,Churches & Places of Worship,,,Churches & Places of Worship
37,Church On Fire Ministries,l.daniel@mycfm.org,(513) 367-7772,"10544 Harrison Ave,Harrison,OH",45030,http://www.mycfm.org,5,2,,,Pentecostal Churches,Churches & Places of Worship,Non-Denominational Churches,"Pentecostal Churches,Churches & Places of Worship,Non-Denominational Churches"
38,First Pentecostal Gospel,,(614) 228-1220,"421 Dakota Ave,Columbus,OH",43223,,5,2,,,Pentecostal Churches,Churches & Places of Worship,,"Pentecostal Churches,Churches & Places of Worship"
39,Pilgrim Congregational Church,info@pilgrimalive.org,(216) 861-7388,"2592 W 14th St,Cleveland,OH",44113,http://pilgrimalive.org,5,1,,,Church of Christ,Churches & Places of Worship,Interdenominational Churches,"Church of Christ,Churches & Places of Worship,Interdenominational Churches,New Testament Church of Christ,Various Denomination Churches"
40,Emmanuel Baptist Church,emmanuelbcclev@att.net,(216) 432-2212,"7901 Quincy Ave,Cleveland,OH",44104,https://www.emmanuelbaptistcleve.org,5,1,,,Baptist Churches,Churches & Places of Worship,Clergy,"Baptist Churches,Churches & Places of Worship,Clergy,General Baptist Churches"
41,Bailey Road Baptist Church,brbc1@att.net,(330) 538-3911,"2121 N Bailey Rd,North Jackson,OH",44451,http://www.baileyroadbaptist.org,5,1,,,Baptist Churches,Churches & Places of Worship,General Baptist Churches,"Baptist Churches,Churches & Places of Worship,General Baptist Churches"
42,Crestview Baptist Church,info@crestviewstow.org,(330) 673-0405,"3943 Fishcreek Rd,Stow,OH",44224,http://www.crestviewstow.org,5,1,,,Baptist Churches,Churches & Places of Worship,General Baptist Churches,"Baptist Churches,Churches & Places of Worship,General Baptist Churches,Southern Baptist Churches"
43,Crusade Baptist Church,,(330) 665-1076,"2982 Copley Rd,Copley,OH",44321,http://crusadebaptist.org,5,1,,,Baptist Churches,Churches & Places of Worship,General Baptist Churches,"Baptist Churches,Churches & Places of Worship,General Baptist Churches"
44,Christ United Methodist Church,pcrisp@christumc.org,(937) 293-3151,"3440 Shroyer Rd,Dayton,OH",45429,http://www.christumc.org,5,1,,,Churches & Places of Worship,Methodist Churches,Preschools & Kindergarten,"Churches & Places of Worship,Methodist Churches,Preschools & Kindergarten,Schools,United Methodist Churches"
45,New Bethel Baptist Church,,(234) 201-9755,"1507 Hillman St,Youngstown,OH",44507,http://www.nbbcyoungstown.com,5,1,,,Churches & Places of Worship,Baptist Churches,Regular Baptist Churches,"Churches & Places of Worship,Baptist Churches,Regular Baptist Churches"
46,Hillsboro Bible Baptist Church,,(937) 393-2911,"8080 State Route 124,Hillsboro,OH",45133,,5,1,,,Baptist Churches,Churches & Places of Worship,Counseling Services,"Baptist Churches,Churches & Places of Worship,Counseling Services,Independent Baptist Churches,Schools,Youth Organizations & Centers"
47,Greenbush Baptist Church,greenbushbaptist@greenbushbaptist.org,(513) 724-3252,"15977 Edgington Rd,Williamsburg,OH",45176,http://www.greenbushbaptist.org,,,,,Baptist Churches,Churches & Places of Worship,General Baptist Churches,"Baptist Churches,Churches & Places of Worship,General Baptist Churches"
48,Tabernacle Baptist Church,info@mytabernacle.org,(740) 774-2224,"221 E Main St,Chillicothe,OH",45601,http://www.mytabernacle.org,5,1,,,Baptist Churches,American Baptist Churches,Churches & Places of Worship,"Baptist Churches,American Baptist Churches,Churches & Places of Worship,General Baptist Churches"
49,Highland Baptist Church Sbc,,(614) 875-0687,"3460 Hoover Rd,Grove City,OH",43123,http://www.hbcgc.org,5,1,,,Baptist Churches,Churches & Places of Worship,General Baptist Churches,"Baptist Churches,Churches & Places of Worship,General Baptist Churches,Religious Organizations,Southern Baptist Churches"
50,Cincinnati West Baptist Church,,(513) 941-0263,"101 Main St,Addyston,OH",45001,https://www.kjvchurches.com,5,1,,,Baptist Churches,Churches & Places of Worship,General Baptist Churches,"Baptist Churches,Churches & Places of Worship,General Baptist Churches"
51,Twin Rivers Baptist Church,pastorbaumer@twinriversbaptist.org,(740) 376-0440,"110 D A V Rd,Whipple,OH",45788,http://www.twinriversbaptist.org,5,1,,,Baptist Churches,Churches & Places of Worship,General Baptist Churches,"Baptist Churches,Churches & Places of Worship,General Baptist Churches,Independent Baptist Churches"
