"rank","restaurant_name","emailaddress","zipcode","website","cuisine1","cuisine2","cuisine3","cuisine","phone_number","address","yellowpages_rating","yellowpages_review_count","tripadvisor_rating","tripadvisor_review_count"
"43. ","The Inn At Belden Village","","44718","","Assisted Living Facilities","Alzheimer's Care & Services","Assisted Living & Elder Care Services","Assisted Living Facilities,Alzheimer's Care & Services,Assisted Living & Elder Care Services,Nursing & Convalescent Homes,Nursing Homes-Intermediate Care Facility,Residential Care Facilities,Retirement Communities,Senior Citizens Services & Organizations","(330) 493-0096","3927 38th St NW,Canton,OH","5","1","",""
"44. ","Kingston Healthcare Company","","43604","http://www.kingstonhealthcare.com","Elderly Homes","Assisted Living & Elder Care Services","Assisted Living Facilities","Elderly Homes,Assisted Living & Elder Care Services,Assisted Living Facilities,Nursing & Convalescent Homes,Retirement Communities,Senior Citizens Services & Organizations","(419) 247-2880","1 Seagate Ste 1960,Toledo,OH","5","1","",""
"45. ","Parkcliffe Alzheimer's Community","","43615","http://www.parkcliffe.com","Assisted Living Facilities","Alzheimer's Care & Services","Assisted Living & Elder Care Services","Assisted Living Facilities,Alzheimer's Care & Services,Assisted Living & Elder Care Services,Elderly Homes,Home Health Services,Nursing & Convalescent Homes,Nursing Homes-Intermediate Care Facility,Residential Care Facilities,Retirement Communities,Senior Citizens Services & Organizations","(419) 381-9447","4226 Parkcliff Ln,Toledo,OH","5","1","",""
"46. ","Mill Run Rehabilitation Center, Skilled Nursing & Assisted Living","","43026","http://macintoshcompany.com","Nursing & Convalescent Homes","Assisted Living & Elder Care Services","Assisted Living Facilities","Nursing & Convalescent Homes,Assisted Living & Elder Care Services,Assisted Living Facilities,Clinics,Nursing Homes-Skilled Nursing Facility,Physical Therapists,Physical Therapy Clinics,Rehabilitation Services,Senior Citizens Services & Organizations","(614) 527-3000","3399 Mill Run Dr,Hilliard,OH","5","1","",""
"47. ","Bradley Bay Health Center","","44140","http://www.jtonm.net","Nursing & Convalescent Homes","Alzheimer's Care & Services","Assisted Living Facilities","Nursing & Convalescent Homes,Alzheimer's Care & Services,Assisted Living Facilities,Medical Clinics,Nursing Homes-Skilled Nursing Facility,Rehabilitation Services,Residential Care Facilities,Retirement Apartments & Hotels","(440) 871-3474","605 Bradley Rd,Bay Village,OH","5","1","",""
"48. ","Sycamore Glen Health Center","","45342","http://www.kmcnetwork.org","Nursing & Convalescent Homes","Assisted Living Facilities","Residential Care Facilities","Nursing & Convalescent Homes,Assisted Living Facilities,Residential Care Facilities,Retirement Apartments & Hotels,Retirement Communities","(937) 384-4300","2175 Leiter Rd,Miamisburg,OH","5","1","",""
"49. ","Caldwell House","","45373","http://www.alcco.com","Assisted Living Facilities","Assisted Living & Elder Care Services","Elderly Homes","Assisted Living Facilities,Assisted Living & Elder Care Services,Elderly Homes,Homes-Institutional & Aged,Retirement Communities","(937) 339-5199","2900 Corporate Dr,Troy,OH","5","1","",""
"50. ","SEM Laurels Retirement","","45150","http://www.semhaven.org","Retirement & Life Care Communities & Homes-Information Bureaus","Assisted Living & Elder Care Services","Elderly Homes","Retirement & Life Care Communities & Homes-Information Bureaus,Assisted Living & Elder Care Services,Elderly Homes,Nursing & Convalescent Homes,Retirement Communities,Senior Citizens Services & Organizations","(513) 248-0126","203 Mound Ave,Milford,OH","5","1","",""
"51. ","Woodsfield Nursing & Rehab","","43793","http://arborsatwoodsfield.com","Residential Care Facilities","Assisted Living Facilities","Nursing & Convalescent Homes","Residential Care Facilities,Assisted Living Facilities,Nursing & Convalescent Homes,Nursing Homes-Skilled Nursing Facility,Senior Citizens Services & Organizations","(740) 472-1678","37930 Airport Rd,Woodsfield,OH","5","1","",""
"52. ","ManorCare Health Services-North Olmsted","","44070","http://www.hcr-manorcare.com","Residential Care Facilities","Assisted Living Facilities","Nursing & Convalescent Homes","Residential Care Facilities,Assisted Living Facilities,Nursing & Convalescent Homes,Nursing Homes-Intermediate Care Facility,Nursing Homes-Skilled Nursing Facility,Occupational Therapists,Physical Therapists,Senior Citizens Services & Organizations","(440) 779-6900","23225 Lorain Rd,North Olmsted,OH","5","1","",""
"53. ","National Church Residences Bath Road","","44223","http://www.traditionshealthcare.org","Residential Care Facilities","Assisted Living Facilities","Elderly Homes","Residential Care Facilities,Assisted Living Facilities,Elderly Homes,Nursing & Convalescent Homes,Nursing Homes-Skilled Nursing Facility,Senior Citizens Services & Organizations","(330) 929-6272","300 E Bath Rd,Cuyahoga Falls,OH","5","1","",""
"54. ","Primary Care Nursing Services Inc","","43017","http://www.pcnsohio.com","Assisted Living & Elder Care Services","Child Care","Fingerprinting","Assisted Living & Elder Care Services,Child Care,Fingerprinting,Home Health Services,Nurses,Nurses-Home Services,Physical Therapists","(614) 764-0960",",Dublin,OH","5","1","",""
"55. ","Carko Tire And Auto","info@carkotire.com","45840","http://carkotire.com","Assisted Living & Elder Care Services","Auto Repair & Service","Battery Supplies","Assisted Living & Elder Care Services,Auto Repair & Service,Battery Supplies,Brake Repair,Scooters Mobility Aid Dealers,Tire Dealers,Trailer Equipment & Parts,Trailer Hitches,Transport Trailers,Truck Accessories,Truck Equipment & Parts,Wheel Alignment-Frame & Axle Servicing-Automotive,Wheelchairs,Wheels-Aligning & Balancing,Wheels-Frame & Axle Servicing-Equipment","(419) 422-1212","616 N Blanchard St,Findlay,OH","5","1","",""
"56. ","Right Care Home Health Care","","43068","http://www.rightcareohio.com","Assisted Living & Elder Care Services","Alzheimer's Care & Services","Home Health Services","Assisted Living & Elder Care Services,Alzheimer's Care & Services,Home Health Services","(614) 655-2040","6420 E Main St,Reynoldsburg,OH","5","1","",""
"57. ","Perrysburg Commons","","43551","http://www.hcr-manorcare.com","Residential Care Facilities","Assisted Living Facilities","Nursing & Convalescent Homes","Residential Care Facilities,Assisted Living Facilities,Nursing & Convalescent Homes,Nursing Homes-Intermediate Care Facility,Nursing Homes-Skilled Nursing Facility,Occupational Therapists,Physical Therapists,Senior Citizens Services & Organizations","(419) 874-1931","10542 Fremont Pike,Perrysburg,OH","5","1","",""
"58. ","Dorothy Love Retirement Community","","45365","http://www.dorothylove.org","Retirement Communities","Nursing & Convalescent Homes","Residential Care Facilities","Retirement Communities,Nursing & Convalescent Homes,Residential Care Facilities,Retirement Apartments & Hotels","(937) 498-2391","3003 Cisco Rd,Sidney,OH","5","1","",""
"59. ","Cardinal Retirement Village","","44223","http://www.cardinalretirement.com","Nursing Homes-Skilled Nursing Facility","Apartments","Assisted Living Facilities","Nursing Homes-Skilled Nursing Facility,Apartments,Assisted Living Facilities,Residential Care Facilities,Retirement Communities","(330) 928-7888","171 Graham Rd,Cuyahoga Falls,OH","5","1","",""
"60. ","Carriage Court of Lancaster","","43130","http://www.seniorlifestyle.com/property/carriage-court-lancaster/#about","Residential Care Facilities","Assisted Living & Elder Care Services","Assisted Living Facilities","Residential Care Facilities,Assisted Living & Elder Care Services,Assisted Living Facilities,Retirement Communities","(740) 654-4422","800 Becks Knob Rd,Lancaster,OH","5","1","",""
"181. ","Glen Retirement Community","","45342","http://www.ketteringhealth.org/seniorliving","Retirement Communities","Assisted Living & Elder Care Services","Assisted Living Facilities","Retirement Communities,Assisted Living & Elder Care Services,Assisted Living Facilities,Nursing & Convalescent Homes,Residential Care Facilities,Retirement Apartments & Hotels","(937) 866-2984","317 Sycamore Glen Dr,Miamisburg,OH","3","2","",""
"182. ","Trinity Community at Fairborn","","45324","https://www.unitedchurchhomes.org/trinity-at-fairborn/?utm_source=ExtNet&utm_medium=Yext","Assisted Living Facilities","Assisted Living & Elder Care Services","Nursing & Convalescent Homes","Assisted Living Facilities,Assisted Living & Elder Care Services,Nursing & Convalescent Homes,Nursing Homes-Intermediate Care Facility,Nursing Homes-Skilled Nursing Facility,Rehabilitation Services,Residential Care Facilities,Retirement Communities","(937) 878-0262","789 Stoneybrook Trl,Fairborn,OH","3","2","",""
"183. ","Kingston Of Miamisburg","","45342","http://www.kingstonhealthcare.com","Assisted Living & Elder Care Services","Homes-Institutional & Aged","Nursing & Convalescent Homes","Assisted Living & Elder Care Services,Homes-Institutional & Aged,Nursing & Convalescent Homes,Nursing Homes-Intermediate Care Facility,Nursing Homes-Skilled Nursing Facility,Rehabilitation Services,Residential Care Facilities","(937) 866-9089","1120 Dunaway St,Miamisburg,OH","3","2","",""
"184. ","Judson Care Center","","45211","http://www.judsonvillage.com","Homes-Institutional & Aged","Assisted Living & Elder Care Services","Assisted Living Facilities","Homes-Institutional & Aged,Assisted Living & Elder Care Services,Assisted Living Facilities,Nursing & Convalescent Homes","(513) 662-5880","2373 Harrison Ave,Cincinnati,OH","3","2","",""
"185. ","Sunrise Place-Memory Impaired","","43085","https://www.sunriseseniorliving.com","Retirement Communities","Elderly Homes","Rest Homes","Retirement Communities,Elderly Homes,Rest Homes,Senior Citizens Services & Organizations","(614) 781-6201","65 Wesley Blvd,Worthington,OH","3","2","",""
"186. ","Crandall Medical Center","","44672","http://oaks.org","Nursing & Convalescent Homes","Assisted Living Facilities","Medical Clinics","Nursing & Convalescent Homes,Assisted Living Facilities,Medical Clinics,Nursing Homes-Skilled Nursing Facility,Residential Care Facilities","(330) 938-1085","800 S 15th St,Sebring,OH","3","2","",""
"187. ","Courtyard The","questions@inumc.org","44460","http://www.courtyardatlexington.com","Hotels","Assisted Living & Elder Care Services","Assisted Living Facilities","Hotels,Assisted Living & Elder Care Services,Assisted Living Facilities,Corporate Lodging,Elderly Homes,Lodging,Nursing & Convalescent Homes","(330) 337-1730","2345 Lexington Ave,Salem,OH","3","2","",""
"188. ","Shadyside Care Center","","43947","http://www.shadysidecare.org","Assisted Living Facilities","Nursing & Convalescent Homes","","Assisted Living Facilities,Nursing & Convalescent Homes","(740) 676-8381","60583 State Route 7,Shadyside,OH","3","2","",""
"189. ","Caprice Health Care Center","","44452","http://www.chcccompanies.com","Residential Care Facilities","Assisted Living Facilities","Nursing & Convalescent Homes","Residential Care Facilities,Assisted Living Facilities,Nursing & Convalescent Homes","(330) 965-9200","9184 Market St,North Lima,OH","3","2","",""
"190. ","Berkeley Square","","45013","http://discoverberkeleysquare.org","Assisted Living Facilities","Assisted Living & Elder Care Services","","Assisted Living Facilities,Assisted Living & Elder Care Services","(513) 856-8600","100 Berkley Dr,Hamilton,OH","3","2","",""
"191. ","Country View Of Sunbury","","43074","http://www.countryview-sunbury.net","Nursing & Convalescent Homes","Assisted Living Facilities","Residential Care Facilities","Nursing & Convalescent Homes,Assisted Living Facilities,Residential Care Facilities","(740) 965-3984","14961 N Old 3c Rd,Sunbury,OH","3","2","",""
"192. ","Wapakoneta Manor","","45895","","Nursing & Convalescent Homes","Assisted Living Facilities","Physical Therapists","Nursing & Convalescent Homes,Assisted Living Facilities,Physical Therapists","(419) 738-3711","1010 Lincoln Hwy,Wapakoneta,OH","3","2","",""
"193. ","Autumn Health Care","","43812","https://www.greystonehealth.com/services/health-centers.html","Nursing & Convalescent Homes","Assisted Living Facilities","","Nursing & Convalescent Homes,Assisted Living Facilities","(740) 622-2074","1991 Otsego Ave,Coshocton,OH","3","2","",""
"194. ","A Loving Hands Home Care & Companion Care","","44511","","Home Health Services","Assisted Living & Elder Care Services","Eldercare-Home Health Services","Home Health Services,Assisted Living & Elder Care Services,Eldercare-Home Health Services,Nurses,Nurses-Home Services","(330) 792-7032","4179 Nottingham Ave,Youngstown,OH","3","2","",""
"195. ","SelectQuote Senior","","44511","","Senior Citizens Services & Organizations","Health Insurance","Insurance","Senior Citizens Services & Organizations,Health Insurance,Insurance","(877) 217-3357",",,OH","3","2","",""
"196. ","Chardon Healthcare Center","","44024","http://chardonchamber.com","Physical Therapy Clinics","Nursing & Convalescent Homes","Speech-Language Pathologists","Physical Therapy Clinics,Nursing & Convalescent Homes,Speech-Language Pathologists","(440) 285-9400","620 Water St,Chardon,OH","3","2","",""
"197. ","Emerald Pointe","","43713","","Nursing & Convalescent Homes","Medical Clinics","Rehabilitation Services","Nursing & Convalescent Homes,Medical Clinics,Rehabilitation Services,Residential Care Facilities","(740) 425-5400","100 Michelli St,Barnesville,OH","3","2","",""
"198. ","Alternate Solutions Home Care","","45242","http://www.ashomecare.com","Home Health Services","Eldercare-Home Health Services","Hospices","Home Health Services,Eldercare-Home Health Services,Hospices,Medical Assistants & Technicians,Medical Clinics,Nurses,Nurses Registries,Nurses-Home Services,Physical Therapists,Senior Citizens Services & Organizations","(513) 563-4663","4340 Glendale Milford Rd,Blue Ash,OH","3","2","",""
"199. ","Springhills Singing Woods","","45415","http://www.spring-hills.com/assisted_living/Dayton_OH/zip_45415/spring_hills_senior_communities/4193","Assisted Living Facilities","Alzheimer's Care & Services","Assisted Living & Elder Care Services","Assisted Living Facilities,Alzheimer's Care & Services,Assisted Living & Elder Care Services,Homes-Institutional & Aged,Nursing & Convalescent Homes,Nursing Homes-Intermediate Care Facility,Nursing Homes-Skilled Nursing Facility,Residential Care Facilities,Rest Homes,Retirement Communities,Senior Citizens Services & Organizations","(937) 274-1400","140 E Woodbury Dr,Dayton,OH","3","1","",""
"200. ","Pleasant View Health Care Center","","44203","http://www.2pleasantviewhcc.com","Assisted Living Facilities","Assisted Living & Elder Care Services","Homes-Institutional & Aged","Assisted Living Facilities,Assisted Living & Elder Care Services,Homes-Institutional & Aged,Nursing & Convalescent Homes,Nursing Homes-Intermediate Care Facility,Nursing Homes-Skilled Nursing Facility,Rehabilitation Services","(330) 745-6028","401 Snyder Ave,Barberton,OH","3","1","",""
"201. ","H & H Vandalia","","45414","http://www.chancellorhealth.com","Assisted Living Facilities","Adult Day Care Centers","Alzheimer's Care & Services","Assisted Living Facilities,Adult Day Care Centers,Alzheimer's Care & Services,Homes-Institutional & Aged,Nurses-Home Services,Nursing & Convalescent Homes,Residential Care Facilities,Retirement Communities,Senior Citizens Services & Organizations","(937) 264-1140","55 Great Hill Dr,Dayton,OH","3","1","",""
