"Name","MoverAddress1","MoverTown","MoverCounty","MoverPostcode","MoverEmail","MoverWebsite"
"Burke & Wills","The Yard","London","","SW17 0BA","","http://www.burkeandwills.co.uk"
"Gentleman & A Van Group Ltd","Master removers group house","Chessington","Surrey","KT9 1RH","info@gmaav.co.uk","http://www.gentlemanandavan.co.uk"
"Hedleys Group Ltd","3 St Leonards Road","Park Royal","London","NW10 6SX","","http://www.hedleysgroup.com"
"Excess International Movers Ltd","10 Laxcon Close","London","London","NW10 0TG","Shaneel.Mehta@excess-international.com","http://www.excess-international.com"
"Elite Moving Systems Ltd","Nucleus 2","Park Royal","London","NW10 7XT","","http://www.ems-move.com"
"Pickfords","Unit 10","London","","NW10 0TG ","westlondon@pickfords.com","http://www.pickfords.com"
"Anglo Pacific International Plc","Unit 10","Neasden","London","NW10 0TG","","http://www.anglopacific.co.uk"
"Crown Workspace Ltd","1 Tudor Gate","Park Royal","London","NW10 7UW","","http://www.crownworkspace.com"
"Santa Fe Relocation","Central Way","Park Royal","London","NW10 7XW","","http://www.santaferelo.com"
"Inline Removals & Storage Ltd","Unit 6","Silvertown","London","E16 2EZ","","http://www.inlineremovals.co.uk"
"James Removals Ltd","Unit 1","Kidbrooke","London","SE3 9BY","","http://www.jamesremovals.com"
"BMS Transport","Unit 10, Saxon Business Centre","London","","SW19 2RR","siva@bmstransport.co.uk","http://www.bmstransport.co.uk"
"Rogers Removals","Unit 2, Block 3","Finchley","London","N12 0SH","","http://www.rogersremovals.co.uk"
"Clockwork Removals Ltd","Unit 7","Wimbledon","London","SW19 3HX","","http://www.clockworkremovals.co.uk"
"The Shore Porters Society","Market House","Richmond Upon Thames","Surrey","TW9 4LZ","","http://www.rumseyandson.com"
"Restore Harrow Green Ltd","Merganser House","London","","E16 2BZ","","http://www.harrowgreen.com"
"Easy Shipping Ltd","Unit 15-16 Lionsgate Enterprise Park","Mitcham","Surrey","CR4 4NY","info@easyshipping.co.uk","http://www.easyshipping.co.uk"
"Cos Freight","Unit 1","London","","N18 3BW","sam@cosfreight.co.uk","http://www.cosfreight.co.uk"
"Ants Removals Ltd","Unit 7","Borehamwood","","WD6 2BT","office@antsremovals.co.uk","http://www.antsremovals.co.uk"
"Britannia Ryans Move International","1 Orbital Business Park","Edmonton","London","N18 3BW","","http://www.britannia-movers.co.uk/branch/ryans-removals-london"
"Grants Removals & Storage Ltd","1-3 Osier Way","Mitcham","Surrey","CR4 4NF","","http://www.grantsremovals.co.uk"
"Top Removals","Unit 76","London","","E6 6LS","info@topremovals.co.uk","https://www.top-removals.co.uk"
"Arnold & Self Removals","Unit 23-24 Grace Business Centre","Mitcham","Surrey","CR4 4TU","","http://www.arnoldself.com"
"Best Rates Removals","11 Aintree Road","Perivale","Middlesex","UB6 7LA","office@bestrateremovals.co.uk","http://www.bestrateremovals.co.uk"
"Burton & Smith Moving Ltd","Unit 3","Croydon","Surrey","CR0 4XH","","http://www.burton-smith.co.uk"
"Gosselin UK Limited","1st Floor","Croydon","","CR20 2RD","","http://www.goselin-moving.co.uk"
"Crown Workspace Ltd","Premier House","Edmonton","London","N9 0BD","","http://www.crownworkspace.com"
"F Smith & Son (Croydon) Ltd","Unit 5 - 6","Croydon","Surrey","CR0 4AA","","http://www.fsmithandson.co.uk"
"CJS Removals","2 Garland Road","Stanmore","Middlesex","HA7 1NR","","http://www.cjsremovals.co.uk"
"Ede's (UK) Limited","169 Garth Road","Morden","Surrey","SM4 4LF","","http://www.edes.com"
"Fullers (Carshalton)","Unit 4","Carshalton","Surrey","SM5 2DG","","http://www.fullersremovals.co.uk"
"Arclite Removals","Unit 5","Twickenham","Middlesex","TW1 1DG","","http://www.arclite-removals.co.uk"
"GB Liners Ltd","28 Armstrong Way","Southall","Middlesex","UB2 4SD","","http://www.gbliners.com"
"Universal Commercial Relocation Ltd","Unit 1c, Lyon Trading Estate","London","Middlesex","UB6 0BN","","http://www.ucr.uk.com"
"Stephen Morris Shipping plc","Unit 9 Ockham Drive","Greenford","Middlesex","UB6 0FD","","http://www.shipsms.co.uk"
"J & W J Morris Removals","Barnet Hill","Barnet","Hertfordshire","EN5 5YS","","http://www.morrisremovals.co.uk"
"PSS International Removals","Unit 6 ,","Croydon","Surrey","CR9 4PS","","http://www.pssremovals.com"
"Steve Frieze Removals & Storage","Eagle House","Croydon","Surrey","CR0 4RD","darren@stevefrieze.co.uk","http://www.stevefrieze.co.uk"
"City Removals Ltd","Office 1, Unit 2A","Barking","Essex","IG11 0AG","","http://www.city-removals.co.uk"
"Harris Installation Services","Unit 2 Birchmere Business Park","Thamesmead","London","SE28 0AF","jodie@harrisinstall.co.uk","http://www.harrisinstall.co.uk"
"Restore Harrow Green Ltd","Eagle House","Croydon","Surrey","CR0 4RD","","http://www.harrowgreen.com"
"South Park Removal Service Ltd","284 Green Lane","Ilford","Essex","IG1 1YD","","http://www.southparkremovals.co.uk"
"Smarts of Northolt Ltd","Unit 15 Derby Road","Greenford","Middlesex","UB6 8UJ","","http://www.smartsremovals.co.uk"
"Sterling Relocation Ltd","Building 4","Uxbridge","Middlesex","UB8 1DH","","http://www.sterlingrelocation.com"
"Swans Removals Ltd","Phoenix Business Centre","Harrow","","HA1 2SP","info@swansremovals.co.uk","http://www.swansremovals.co.uk"
"J A Steel & Son Ltd","Steel House","Enfield","Middlesex","EN3 7PY","","http://www.jasteelandson.co.uk"
"Delahaye Moving Ltd","Unit 18 Airlinks Industrial Way","Heston","","TW5 9NR","julie.sachot@delahayemoving.com","http://www.delahayemoving.co.uk"
"Bishop's Move","Bishop House,","Surbiton","Surrey","KT6 7LD","marketing@bishopsmove.com","http://www.bishopsmove.com"
"Bishop's Move","Unit E2","West Thurrock","Essex","RM19 1NA","marketing@bishopsmove.com","http://www.bishopsmove.com"
"Oceanair International Movers Ltd","59 Lockfield Avenue","Enfield","Middlesex","EN3 7PY","","http://www.oceanairinternational.com"
"Crown Worldwide Limited","19 Stonefield Way","South Ruislip","Middlesex","HA4 0BJ","","http://www.crownrelo.com"
"Coppards Removals & Storage","Unit 2 Scrubs Farm","Bromley","Kent","BR2 8LL","steve@coppardsremovals.co.uk","http://www.coppardsremovals.co.uk"
"RHT London Ltd","A3 Star Business Centre","London","","RM13 8UP","david.smith@rhtgroup.co.uk","http://www.rhtgroup.co.uk"
"White & Co plc","International House","Waltham Cross","London","EN8 7PF","","http://www.whiteandcompany.co.uk"
"Nippon Express (UK) Limited","Heathrow 360","Hayes","Middlesex","UB3 4AZ","","http://www.nipponexpress.co.uk"
"Access Transport Removals and Storage Ltd","192 Banstead Road","Banstead","Surrey","SM7 1QG","","http://www.accesstransport.co.uk."
"Essex Removal Service & Co Ltd","139 Crow Lane","Romford","Essex","RM7 0ES","","http://www.essexremovalservices.co.uk"
"Geo Copsey & Co Ltd","178 Crow Lane","Romford","Essex","RM7 0ES","","http://www.copsey.org.uk"
"Crown Promotions & Removals Ltd","Crown House","Rainham","Essex","RM13 8UH","crownprom@btinternet.com","http://www.crownpromotions.co.uk"
"Smart Carriers","Unit 14 The Hub","Elstree","Hertfordshire","WD6 3AW","davidsmart@smartcarriers.com","http://www.smartcarriers.com"
"Gerson Relocation Ltd","Unit 29","Park Royal","London","NW10 7XF","reception@gersonrelocation.com","http://www.gersonrelocation.com"
"The Doree Bonner International Group","International House","Dartford","Kent","DA1 4QN","","http://www.doreebonner.co.uk"
"Johnsons 1871 Ltd","8B Lumen Road","Wembley","Middlesex","HA9 7RE","ghilton@jbm.eu.com","http://www.johnsons1871.com"
"C Neale","349 South End Road","Hornchurch","Essex","RM12 5NP","","http://www.neales-removals.co.uk"
"F & M Bennett & Son","Unit 5a Fairview Industrial Park","Rainham","Essex","RM13 8UH","","http://www.bennettremovals.co.uk"
"Galleon International Shipping Co Ltd","Galleon House","Aveley","Essex","RM15 4YA","ian.macmillan@galleon-ltd.com","http://www.galleon-ltd.com"
"MJF Business Services Limited","River House","Uxbridge","Middlesex","UB8 2YF","","http://www.mjf.co.uk"
"Eagle Relocations And Logistics Ltd","Unit 9","Watford","Herts","WD18 8AD","","http://www.eaglerelocations.com"
"AGS Limited","Unit 1","Uxbridge","Middlesex","UB8 2DB","","http://www.agsfourwinds.com"
"C Bain of Upminster","164 Upminster Road","Upminster","Essex","RM14 2RB","","http://www.cbainremovals.co.uk"
